set,survey_date,org,SO,PI,CU,CO,HE
DFO _ 2015-05-12 _ D09, 2015-05-12 ,DFO ,1,0,0,0,0
DFO _ 2015-05-25 _ D09, 2015-05-25 ,DFO ,0.6349206349206349,0.005291005291005291,0.15873015873015872,0.037037037037037035,0.164021164021164
DFO _ 2015-05-26 _ D09, 2015-05-26 ,DFO ,0.8292682926829268,0,0.17073170731707318,0,0
DFO _ 2015-06-01 _ D09, 2015-06-01 ,DFO ,0.5638297872340425,0,0.3404255319148936,0.02127659574468085,0.07446808510638298
DFO _ 2015-06-02 _ D09, 2015-06-02 ,DFO ,0.4854368932038835,0,0.02912621359223301,0.02912621359223301,0.4563106796116505
DFO _ 2015-06-08 _ D09, 2015-06-08 ,DFO ,0.4878048780487805,0.012195121951219513,0.3780487804878049,0.08536585365853659,0.036585365853658534
DFO _ 2015-06-09 _ D09, 2015-06-09 ,DFO ,0.5815602836879432,0.028368794326241134,0.2695035460992908,0.02127659574468085,0.09929078014184398
DFO _ 2015-06-15 _ D09, 2015-06-15 ,DFO ,0.21153846153846154,0.019230769230769232,0.6538461538461539,0.11538461538461539,0
DFO _ 2015-06-16 _ D09, 2015-06-16 ,DFO ,0.26666666666666666,0,0.6666666666666666,0,0.06666666666666667
DFO _ 2015-06-21 _ D09, 2015-06-21 ,DFO ,0.4672897196261682,0.028037383177570093,0.2803738317757009,0,0.22429906542056074
DFO _ 2015-06-22 _ D09, 2015-06-22 ,DFO ,0.42857142857142855,0.05442176870748299,0.272108843537415,0.23129251700680273,0.013605442176870748
DFO _ 2015-06-29 _ D09, 2015-06-29 ,DFO ,0.12962962962962962,0.037037037037037035,0.7222222222222222,0.037037037037037035,0.07407407407407407
DFO _ 2015-06-30 _ D09, 2015-06-30 ,DFO ,0.047619047619047616,0.047619047619047616,0.9047619047619048,0,0
DFO _ 2015-07-06 _ D09, 2015-07-06 ,DFO ,0.061224489795918366,0.02040816326530612,0.8163265306122449,0.04081632653061224,0.061224489795918366
DFO _ 2015-07-07 _ D09, 2015-07-07 ,DFO ,0.18461538461538463,0.015384615384615385,0.5230769230769231,0.24615384615384617,0.03076923076923077
DFO _ 2015-07-14 _ D09, 2015-07-14 ,DFO ,0,0.06666666666666667,0.8,0.06666666666666667,0.06666666666666667
DFO _ 2015-07-15 _ D09, 2015-07-15 ,DFO ,0.42857142857142855,0.14285714285714285,0.42857142857142855,0,0
hakai _ 2015-05-20 _ D09, 2015-05-20 ,hakai ,0.7142857142857143,0,0.11428571428571428,0.02857142857142857,0.14285714285714285
hakai _ 2015-05-24 _ D09, 2015-05-24 ,hakai ,1,0,0,0,0
hakai _ 2015-05-26 _ D09, 2015-05-26 ,hakai ,0.7692307692307693,0,0.23076923076923078,0,0
hakai _ 2015-05-28 _ D09, 2015-05-28 ,hakai ,0.5882352941176471,0,0.29411764705882354,0,0.11764705882352941
hakai _ 2015-06-03 _ D09, 2015-06-03 ,hakai ,0.7333333333333333,0.06666666666666667,0,0,0.2
hakai _ 2015-06-05 _ D09, 2015-06-05 ,hakai ,0.6666666666666666,0,0.2,0.06666666666666667,0.06666666666666667
hakai _ 2015-06-07 _ D09, 2015-06-07 ,hakai ,0.7058823529411765,0.058823529411764705,0.17647058823529413,0,0.058823529411764705
hakai _ 2015-06-09 _ D09, 2015-06-09 ,hakai ,0.7142857142857143,0.07142857142857142,0.14285714285714285,0,0.07142857142857142
hakai _ 2015-06-11 _ D09, 2015-06-11 ,hakai ,0.8333333333333334,0.08333333333333333,0.08333333333333333,0,0
hakai _ 2015-06-14 _ D09, 2015-06-14 ,hakai ,0.75,0.03125,0.15625,0,0.0625
hakai _ 2015-06-18 _ D09, 2015-06-18 ,hakai ,0.5882352941176471,0,0.17647058823529413,0,0.23529411764705882
hakai _ 2015-06-20 _ D09, 2015-06-20 ,hakai ,0.4782608695652174,0,0.21739130434782608,0.08695652173913043,0.21739130434782608
hakai _ 2015-06-22 _ D09, 2015-06-22 ,hakai ,0.43478260869565216,0.21739130434782608,0.21739130434782608,0,0.13043478260869565
hakai _ 2015-06-24 _ D09, 2015-06-24 ,hakai ,0,0,0.8333333333333334,0.16666666666666666,0
hakai _ 2015-06-27 _ D09, 2015-06-27 ,hakai ,0.6111111111111112,0.3888888888888889,0,0,0
hakai _ 2015-06-29 _ D09, 2015-06-29 ,hakai ,0.5333333333333333,0.13333333333333333,0.3333333333333333,0,0
hakai _ 2015-07-02 _ D09, 2015-07-02 ,hakai ,0.5238095238095238,0.14285714285714285,0.09523809523809523,0,0.23809523809523808
hakai _ 2015-07-07 _ D09, 2015-07-07 ,hakai ,0.2777777777777778,0.3888888888888889,0.2222222222222222,0,0.1111111111111111
hakai _ 2015-07-14 _ D09, 2015-07-14 ,hakai ,0.7647058823529411,0.029411764705882353,0.20588235294117646,0,0
