ufn,ufn.no.u,date.site,search.id,date.processed,date.caught,site,species,number,semsp.id,cwt,adipose,weight,standard.length,fork.length,number.of.lice,cm,cpaf,caf,gc,gl,laf,palf,palm,lam,ucal,ulep,rna.tray.id,rna.tray.row,rna.tray.column,rna.location,fa.sample.id,fa.box,fa.well,isotope.sample.id,isotope.box,isotope.well,dna.sample.id,dna.box,dna.well,stomach.sample.id,stomach.tray,otolith.sample.id,otolith.box,otolith.well,sea.lice.sample.id,sea.lice.box,sea.lice.well,sl.cal.sample.id,sl.cal.box,sl.cal.well,sl.lep.sample.id,sl.lep.box,sl.lep.well,scale.book,scale.cell,carcass.bag,whatman.genetic.stock.id,whatman.genetic.stock.id.code,whatman.genetic.stock.id.range,whatman.sheet,initials.of.dissector,mins.to.process,photo.number,comments.processing,comments.sample,qc.data,qc.lice,dissection.state,ufn.no.u.copy,ufn.all.u,ufn.copy,wet weight,sea.lice.processed.state
U1,1,2015-05-20-J05,JE101,2015-09-10,2015-05-20,J05,CU,06,2015-05-20-J05-CU-06,none,none,NA,NA,118,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS1,CU1,1,SDN1,CU1,1,SST1,1,SOT1,CU1,A1,SSL1,CU1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,CK,NA,NA,FROM THAWED JS FISH,one otolith collected,CK,LP,work-up excluding cold samples,1,U1,U1,NA,not
U2,2,2015-05-20-J05,JE101,2015-09-10,2015-05-20,J05,CU,01,2015-05-20-J05-CU-01,none,none,22.2,NA,128,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS4,CU1,3,SDN4,CU1,2,SST4,1,SOT4,CU1,A2,SSL4,CU1,3,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,CK,NA,NA,FROM THAWED JS FISH,small spleen,CK,LP,work-up excluding cold samples,2,U2,U2,NA,not
U11,11,2015-05-20-J05,JE101,2015-09-10,2015-05-20,J05,CU,10,2015-05-20-J05-CU-10,none,none,NA,NA,132,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS2,CU1,12,SDN2,CU1,11,SST2,2,SOT2,CU2,A1,SSL2,CU1,12,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,KI,0:43:00,NA,FROM THAWED JS FISH,NA,CK,LP,work-up excluding cold samples,11,U11,U11,NA,not
U12,12,2015-05-20-J05,JE101,2015-09-10,2015-05-20,J05,CU,04,2015-05-20-J05-CU-04,none,none,NA,NA,143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS3,CU1,14,SDN3,CU1,12,SST3,2,SOT3,CU2,A2,SSL3,CU1,14,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,KI,0:42:00,NA,FROM THAWED JS FISH,one broken otolith,KI,LP,work-up excluding cold samples,12,U12,U12,NA,not
U3,3,2015-05-20-J05,JE101,2015-09-11,2015-05-20,J05,CU,02,2015-05-20-J05-CU-02,none,none,24.0,NA,134,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS6,CU1,5,SDN6,CU1,3,SST6,1,SOT6,CU1,A3,SSL6,CU1,5,NA,NA,NA,NA,NA,NA,1,6,1,NA,NA,NA,NA,DS,0:51:00,NA,FROM THAWED JS FISH,"sample weighed w/ some ice on body, liver was pale",KI,LP,work-up excluding cold samples,3,U3,U3,NA,not
U13,13,2015-05-20-J05,JE101,2015-09-11,2015-05-20,J05,CU,07,2015-05-20-J05-CU-07,none,none,19.5,NA,122,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS5,CU1,16,SDN5,CU1,13,SST5,2,SOT5,CU2,A3,SSL5,CU1,16,NA,NA,NA,NA,NA,NA,1,5,1,NA,NA,NA,NA,LP,NA,NA,FROM THAWED JS FISH,NA,KI,LP,work-up excluding cold samples,13,U13,U13,NA,not
U4,4,2015-05-20-J05,JE101,2015-09-14,2015-05-20,J05,CU,09,2015-05-20-J05-CU-09,none,none,22.5,NA,132,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS9,CU1,7,SDN9,CU1,4,SST9,1,SOT9,CU1,A4,SSL9,CU1,7,NA,NA,NA,NA,NA,NA,1,8,1,NA,NA,NA,NA,DS,0:45:00,NA,FROM THAWED JS FISH,"some ice still on fish when weighed, one otolith smaller than the other (broken?)",CK,LP,work-up excluding cold samples,4,U4,U4,NA,not
U5,5,2015-05-20-J05,JE101,2015-09-14,2015-05-20,J05,CU,03,2015-05-20-J05-CU-03,none,none,13.4,NA,114,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS10,CU1,9,SDN10,CU1,5,SST10,1,SOT10,CU1,A5,SSL10,CU1,9,NA,NA,NA,NA,NA,NA,1,10,1,NA,NA,NA,NA,DS,0:45:00,NA,FROM THAWED JS FISH,NA,KI,LP,work-up excluding cold samples,5,U5,U5,NA,not
U6,6,2015-05-21-J06,JE102,2015-09-14,2015-05-21,J06,CU,06,2015-05-21-J06-CU-06,none,none,16.3,NA,122,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS11,CU1,21,SDN11,CU1,6,SST11,1,SOT11,CU1,A6,SSL11,CU1,21,NA,NA,NA,NA,NA,NA,1,11,1,NA,NA,NA,NA,DS,0:40:00,NA,"FROM THAWED JS FISH; appears there exists two fish with ""CU-06""","appears there exists two fish with ""CU-06""",KI,LP,work-up excluding cold samples,6,U6,U6,NA,not
U14,14,2015-05-20-J05,JE101,2015-09-14,2015-05-20,J05,CU,08,2015-05-20-J05-CU-08,none,none,26.3,NA,139,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA-NANA,NA,NA,NA,SIS7,CU1,18,SDN7,CU1,14,SST7,2,SOT7,CU2,A4,SSL7,CU1,18,NA,NA,NA,NA,NA,NA,1,7,1,NA,NA,NA,NA,LP,NA,NA,FROM THAWED JS FISH,scale was broken so could not weigh,KI,LP,work-up excluding cold samples,14,U14,U14,NA,not
