no,action,event_pk,date,work_area,survey,sampling_bout,site_id,lat,long,secchi_type,line_out_depth,hakai_id,row_flag,quality_level,comments,quality_log
262,NA,417,2015-03-18,QUADRA,"QOMA,QOMA1,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,7.5,QU39_2015-03-18_1,Collected,Raw,NA,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m"
314,NA,505,2015-03-24,QUADRA,"QOMA1,QOMA2,QOMA",1,QU39,50.0307000000001,-125.0992,NA,10,QU39_2015-03-24_1,Collected,Raw,NA,NA
331,NA,544,2015-03-26,QUADRA,QOMC,1,QU39,50.0307000000001,-125.0992,NA,8,QU39_2015-03-26_1,Collected,Raw,NA,1: collected water for chl analysis
359,NA,532,2015-03-31,QUADRA,"QOMA2,QOMA1,QOMA",1,QU39,50.0307000000001,-125.0992,NA,14,QU39_2015-03-31_1,Collected,Raw,NA,1: Ctd only dropped to 165m
417,NA,615,2015-04-06,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,9,QU39_2015-04-06_1,Collected,Raw,NA,NA
487,NA,763,2015-04-14,QUADRA,"QOMA,QOMA1,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,2.5,QU39_2015-04-14_1,Collected,Raw,NA,NA
492,NA,761,2015-04-15,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,4,QU39_2015-04-15_1,Collected,Raw,NA,NA
574,NA,891,2015-04-22,QUADRA,"QOMA2,QOMA1,QOMA",1,QU39,50.0307000000001,-125.0992,NA,6,QU39_2015-04-22_1,Collected,Raw,NA,NA
743,NA,1158,2015-05-11,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,6,QU39_2015-05-11_1,Collected,Raw,NA,NA
746,NA,1202,2015-05-12,QUADRA,"QOMA,QOMC",1,QU39,50.0307000000001,-125.0992,NA,5.3,QU39_2015-05-12_1,Collected,Raw,NA,NA
822,NA,1342,2015-05-21,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,7.1,QU39_2015-05-21_1,Collected,Raw,NA,1: A
834,NA,1409,2015-05-26,QUADRA,"QOMA2,QOMA,QOMA1",1,QU39,50.0307000000001,-125.0992,NA,7.4,QU39_2015-05-26_1,Collected,Raw,NA,1: Slb was only 900 ml in the sterivex.
967,NA,1734,2015-06-15,QUADRA,"QOMA2,QOMA,QOMA1",1,QU39,50.0307000000001,-125.0992,NA,6.5,QU39_2015-06-15_1,Collected,Raw,NA,NA
986,NA,1765,2015-06-16,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,5.5,QU39_2015-06-16_1,Collected,Raw,NA,NA
1003,NA,1821,2015-06-17,QUADRA,QOMC,1,QU39,50.0307000000001,-125.0992,NA,3.2,QU39_2015-06-17_1,Collected,Raw,NA,NA
1031,NA,1761,2015-06-22,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,12.6,QU39_2015-06-22_1,Collected,Raw,NA,NA
1043,NA,1843,2015-06-24,QUADRA,"QOMA1,QOMA2,QOMA",1,QU39,50.0307000000001,-125.0992,NA,11.5,QU39_2015-06-24_1,Collected,Raw,NA,NA
1136,NA,2093,2015-06-30,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,9,QU39_2015-06-30_1,Collected,Raw,NA,NA
1182,NA,2198,2015-07-06,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,8.7,QU39_2015-07-06_1,Collected,Raw,NA,NA
1192,NA,2195,2015-07-07,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,9.1,QU39_2015-07-07_1,Collected,Raw,NA,NA
1288,NA,2361,2015-07-22,QUADRA,"QOMA1,QOMA2,QOMA",1,QU39,50.0307000000001,-125.0992,NA,5.8,QU39_2015-07-22_1,Collected,Raw,NA,NA
1315,NA,2491,2015-07-23,QUADRA,QOMC,1,QU39,50.0307000000001,-125.0992,NA,4.1,QU39_2015-07-23_1,Collected,Raw,NA,NA
1361,NA,2511,2015-07-28,QUADRA,"QOMA,QOMA1,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,7.3,QU39_2015-07-28_1,Collected,Raw,NA,NA
1387,NA,2526,2015-08-05,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,8.7,QU39_2015-08-05_1,Collected,Raw,NA,1: good down cast up cast is not continious
1441,NA,2716,2015-08-10,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,6,QU39_2015-08-10_1,Collected,Raw,NA,1: see note book for start drop
1458,NA,2748,2015-08-12,QUADRA,"QOMA2,QOMA1,QOMA",1,QU39,50.0307000000001,-125.0992,NA,9,QU39_2015-08-12_1,Collected,Raw,NA,NA
1528,NA,2869,2015-08-20,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,10.9,QU39_2015-08-20_1,Collected,Raw,NA,NA
1543,NA,2882,2015-08-25,QUADRA,"QOMA2,QOMA,QOMA1",1,QU39,50.0307000000001,-125.0992,NA,6,QU39_2015-08-25_1,Collected,Raw,NA,NA
1625,NA,3284,2015-09-09,QUADRA,"QOMA1,QOMA,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,6.7,QU39_2015-09-09_1,Collected,Raw,NA,1: Chlorophyll was not collected at 10m. No PON/POC
1629,NA,3295,2015-09-10,QUADRA,QOMB,1,QU39,50.0307000000001,-125.0992,NA,6,QU39_2015-09-10_1,Collected,Raw,NA,NA
1712,NA,3471,2015-09-22,QUADRA,"QOMA,QOMA1,QOMA2",1,QU39,50.0307000000001,-125.0992,NA,9.1,QU39_2015-09-22_1,Collected,Raw,NA,NA
1744,NA,3581,2015-09-25,QUADRA,QOMC,1,QU39,50.0307000000001,-125.0992,NA,11,QU39_2015-09-25_1,Collected,Raw,NA,NA
