Display name >>,Year,Month,WaterYear,WindSpdQL,WindSpdQC,WindSpdAvg,WindSpdMin,WindSpdMax,WindSpdStd
Measurement units >>,Year,Month,WaterYear,Quality level,Quality flag,m/s,m/s,m/s,m/s
Sensor node >>,Year,Month,WaterYear,Quadra,Quadra,Quadra,Quadra,Quadra,Quadra
Measurement name >>,Year,Month,WaterYear,WindSpd_QL,WindSpd_QC,WindSpd_Avg,WindSpd_Min,WindSpd_Max,WindSpd_Std
2012-11-28 11:00:00,2012,Nov,2012-2013,,,0.18,0,0.216,0.08
2012-11-28 12:00:00,2012,Nov,2012-2013,,,0.347,0,1.49,0.357
2012-11-28 13:00:00,2012,Nov,2012-2013,,,0.161,0,0.843,0.207
2012-11-28 14:00:00,2012,Nov,2012-2013,,,0.237,0,1.842,0.383
2012-11-28 15:00:00,2012,Nov,2012-2013,,,0.818,0,2.332,0.574
2012-11-28 16:00:00,2012,Nov,2012-2013,,,0.309,0,0.902,0.304
2012-11-28 17:00:00,2012,Nov,2012-2013,,,0.108,0,1,0.236
2012-11-28 18:00:00,2012,Nov,2012-2013,,,1.059,0,3.116,0.845
2012-11-28 19:00:00,2012,Nov,2012-2013,,,1.465,0,3.273,0.627
2012-11-28 20:00:00,2012,Nov,2012-2013,,,1.069,0,3.998,0.848
2012-11-28 21:00:00,2012,Nov,2012-2013,,,1,0,3.783,0.851
2012-11-28 22:00:00,2012,Nov,2012-2013,,,1.96,0,8.47,1.416
2012-11-28 23:00:00,2012,Nov,2012-2013,,,2.134,0,9.35,1.443
2012-11-29 00:00:00,2012,Nov,2012-2013,,,1.771,0,7.566,1.294
2012-11-29 01:00:00,2012,Nov,2012-2013,,,1.23,0,8.21,1.125
2012-11-29 02:00:00,2012,Nov,2012-2013,,,1.101,0,6.017,0.842
2012-11-29 03:00:00,2012,Nov,2012-2013,,,1.69,0,7.585,1.362
2012-11-29 04:00:00,2012,Nov,2012-2013,,,1.81,0,6.684,1.398
2012-11-29 05:00:00,2012,Nov,2012-2013,,,5.858,0.137,15.95,3.36
2012-11-29 06:00:00,2012,Nov,2012-2013,,,6.376,0.059,14.66,2.859
2012-11-29 07:00:00,2012,Nov,2012-2013,,,4.189,0,14.45,2.571
2012-11-29 08:00:00,2012,Nov,2012-2013,,,4.005,0.118,13.78,2.592
2012-11-29 09:00:00,2012,Nov,2012-2013,,,2.201,0,7.546,1.386
2012-11-29 10:00:00,2012,Nov,2012-2013,,,2.436,0,8.27,1.55
2012-11-29 11:00:00,2012,Nov,2012-2013,,,1.925,0,7.056,1.301
2012-11-29 12:00:00,2012,Nov,2012-2013,,,1.64,0,5.429,1.159
2012-11-29 13:00:00,2012,Nov,2012-2013,,,1.76,0,7.095,1.33
2012-11-29 14:00:00,2012,Nov,2012-2013,,,2.327,0,9.47,1.533
2012-11-29 15:00:00,2012,Nov,2012-2013,,,1.709,0,6.586,1.162
