"date.processed
",universal.fish.number,date,site.id,species,number,cwt,adipose,weight(g),standard.length(mm),fork.length(mm),cm,cpaf,caf,gc,gl,laf,palf,palm,lam,ucal,ulep,rna.tray.id,rna.tray.row,rna.tray.column,fa.box,fa.well,isotope.box,isotope.well,dna.box,dna.well,stomach.tray,otololith.box,otolith.well,scale.book,scale.location,carcass.bag,initials.of.dissector,mins.to.process,PHOTO.NUMBER,"comments:processing(thawed.sampled,etc)",comments:sample(condition.of.fish.and.tissues),qc.data
2016-06-09,1791,16-06-14,D09,SO,12,none,none,9,,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVJ,,,Enumerated for sea lice only,,BJ
2016-06-09,1792,16-06-14,D09,SO,20,none,none,11,,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CVJ,,,Enumerated for sea lice only,,BJ
2016-06-27,1431,16-06-20,J07,SO,11,NA,none,9.6,,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,1,SO25,1,SO30,1,NA,NA,60,SO19,1,28,29,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1422,16-06-20,J07,SO,12,NA,none,15,,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,3,SO25,2,SO30,3,NA,NA,58,SO19,3,29,15,1,SJ,,,,,BK
2016-06-27,1432,16-06-20,J07,SO,16,NA,none,19.5,,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,1,SO25,3,SO30,5,NA,NA,60,SO19,5,28,30,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1423,16-06-20,J07,SO,17,NA,none,12.9,,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,3,SO25,4,SO30,7,NA,NA,58,SO19,7,29,16,1,SJ,,,,,BK
2016-06-27,1433,16-06-20,J07,SO,19,NA,none,13.7,,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,1,SO25,5,SO30,9,NA,NA,60,SO19,9,28,31,1,TS,,,"1 Otolith, improper handling of RNA microtube caps may have cross contaminated RNA tissues samples",,SJ
2016-06-27,1434,16-06-20,J07,SO,13,NA,none,11.6,,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,1,SO25,6,SO30,12,NA,NA,60,SO19,12,28,32,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1424,16-06-20,J07,SO,18,NA,none,14.5,,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,3,SO25,7,SO30,14,NA,NA,58,SO19,14,29,17,1,SJ,,,,,BK
2016-06-27,1435,16-06-20,J07,SO,20,NA,none,16,,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,1,SO25,8,SO30,16,NA,NA,60,SO19,16,28,33,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1441,16-06-20,J07,SO,15,NA,none,11.2,,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,2,SO25,9,SO30,18,NA,NA,63,SO19,18,29,18,1,BK,,,,,SJ
2016-06-27,1436,16-06-20,J07,SO,14,NA,none,11.5,,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,1,SO25,11,SO30,20,NA,NA,60,SO19,20,28,34,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1437,16-06-18,J09,SO,5,NA,none,8.5,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,1,SO25,12,SO30,21,NA,NA,60,SO19,21,28,35,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1442,16-06-18,J09,SO,4,NA,none,10.5,,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,2,SO25,13,SO30,23,NA,NA,63,SO19,23,29,19,1,BK,,,,,SJ
2016-06-27,1438,16-06-18,J09,SO,6,NA,none,12,,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,1,SO25,14,SO30,25,NA,NA,60,SO19,25,28,36,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,SJ
2016-06-27,1443,16-06-18,J09,SO,10,NA,none,7.5,,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,2,SO25,15,SO30,27,NA,NA,63,SO19,27,29,20,1,BK,,,,,SJ
2016-06-28,1444,16-06-18,J09,SO,8,NA,none,9.3,,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,2,SO25,16,SO30,29,NA,NA,63,SO19,29,29,21,1,BK,,,,PALE LIVER,BJ
2016-06-28,1451,16-06-18,J09,SO,1,NA,none,12.5,,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,3,SO25,17,SO30,32,NA,NA,60,SO19,32,28,37,1,BJ,,,,,BK
2016-06-28,1445,16-06-18,J09,SO,9,NA,none,8.2,,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,2,SO25,18,SO30,34,NA,NA,63,SO19,34,29,22,1,BK,,,,,BJ
2016-06-28,1452,16-06-18,J09,SO,7,NA,none,9.2,,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,3,SO25,19,SO30,36,NA,NA,62,SO19,36,28,38,1,BJ,,,,,BK
2016-06-28,1446,16-06-18,J09,SO,2,NA,none,8.2,,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,2,SO25,21,SO30,38,NA,NA,63,SO19,38,29,23,1,BK,,,,,BJ
2016-06-28,1453,16-06-18,J09,SO,3,NA,none,12.4,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,3,SO25,22,SO30,40,NA,NA,62,SO19,40,28,39,1,BJ,,,,,BK
2016-06-28,1447,16-06-10,J08,SO,28,NA,none,12.2,,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,2,SO25,23,SO30,41,NA,NA,63,SO19,41,29,24,1,BK,,,,PALE HEART,BJ
2016-06-28,1454,16-06-10,J08,SO,24,NA,none,12.4,,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,3,SO25,24,SO30,43,NA,NA,62,SO19,43,28,40,1,BJ,,,,,BK
2016-06-28,1455,16-06-10,J08,SO,30,NA,none,15.6,,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,3,SO25,25,SO30,45,NA,NA,62,SO19,47,28,41,1,BJ,,,,,BK
2016-06-28,1448,16-06-10,J08,SO,22,NA,none,11.2,,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,2,SO25,26,SO30,47,NA,NA,63,SO19,48,29,25,1,BK,,,,,BJ
2016-06-28,1449,16-06-10,J08,SO,23,NA,none,9.4,,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,5,,27,SO30,49,NA,NA,63,SO19,49,29,26,1,BK,,,,,BJ
2016-06-28,1439,16-06-10,J08,SO,25,NA,none,13.7,,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,6,SO25,28,SO30,52,NA,NA,62,SO19,52,28,42,1,TS,,,,,BK
2016-06-28,1450,16-06-10,J08,SO,26,NA,none,10.8,,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,5,SO25,29,SO30,54,NA,NA,63,SO19,54,29,27,1,BK,0:20:30,,,,BJ
2016-06-28,1440,16-06-10,J08,SO,21,NA,none,11.6,,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,6,SO25,31,SO30,56,NA,NA,62,SO19,56,28,43,1,TS,,,,,BK
2016-06-28,1461,16-06-10,J08,SO,29,NA,none,10.3,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,5,SO25,32,SO30,58,NA,NA,63,SO19,58,29,28,1,BK,0:27:55,,,,BJ
2016-06-28,1471,16-06-10,J08,SO,27,NA,none,10.4,,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,6,SO25,33,SO30,60,NA,NA,62,SO19,60,28,44,1,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-28,1472,16-06-19,J06,SO,14,NA,none,20.6,,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,6,SO25,34,SO30,61,NA,NA,62,SO19,61,28,45,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-28,1462,16-06-19,J06,SO,20,NA,none,11.8,,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,5,SO25,35,SO30,63,NA,NA,63,SO19,63,29,29,2,BK,0:46:50,,,,BJ
2016-06-28,1473,16-06-19,J06,SO,18,NA,none,21.2,,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,6,SO25,36,SO30,65,NA,NA,62,SO19,65,28,46,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-28,1474,16-06-19,J06,SO,19,NA,none,12,,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,6,SO25,37,SO30,67,NA,NA,62,SO19,67,28,47,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-28,1463,16-06-19,J06,SO,11,NA,none,10.1,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,5,SO25,38,SO30,69,NA,NA,63,SO19,69,29,30,2,BK,0:20:55,,,,BJ
2016-06-28,1475,16-06-19,J06,SO,12,NA,none,12,,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,G,6,SO25,39,SO30,72,NA,NA,62,SO19,72,28,48,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-28,1464,16-06-19,J06,SO,17,NA,none,10.7,,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,5,SO25,41,SO30,74,NA,NA,63,SO19,74,29,31,2,BK,0:20:20,,,,BJ
2016-06-29,1476,16-06-19,J06,SO,15,NA,none,16.7,,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,H,6,SO25,42,SO30,76,NA,NA,62,SO19,76,28,49,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1477,16-06-19,J06,SO,13,NA,none,15.2,,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,A,7,SO25,43,SO30,78,NA,NA,62,SO19,78,28,50,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1478,16-06-19,J06,SO,16,NA,none,16.6,,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,B,7,SO25,44,SO30,80,NA,NA,62,SO19,80,35,1,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1479,16-06-16,D07,SO,5,NA,none,10.6,,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,C,7,SO25,45,SO30,81,NA,NA,62,SO19,81,35,2,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1480,16-06-16,D07,SO,9,NA,none,8.5,,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,D,7,SO25,46,SO30,83,NA,NA,62,SO19,83,35,3,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1481,16-06-16,D07,SO,6,NA,none,8.4,,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,E,7,SO25,47,SO30,85,NA,NA,62,SO19,85,35,4,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
2016-06-29,1482,16-06-16,D07,SO,10,NA,none,8.1,,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,F,7,SO25,48,SO30,87,NA,NA,62,SO19,87,35,5,2,TS,,,improper handling of RNA microtube caps may have cross contaminated RNA tissues samples,,BK
