species,survey_date,site_id,sample_status,n
CO,2015-05-21,J06,collected,3
CO,2015-05-22,J04,collected,8
CO,2015-05-22,J08,collected,4
CU,2015-05-20,J05,collected,10
CU,2015-05-21,J06,collected,8
CU,2015-05-22,J04,collected,2
CU,2015-05-22,J08,collected,2
CU,2015-06-15,J10,collected,1
CU,2015-06-23,J03,collected,1
PI,2015-05-16,D07,collected,1
PI,2015-05-20,J05,collected,1
PI,2015-05-21,D07,collected,4
PI,2015-05-30,J08,collected,1
PI,2015-05-31,D08,collected,1
PI,2015-06-23,J09,collected,5
PI,2015-06-24,J07,collected,3
PI,2015-06-29,D09,collected,2
PI,2015-07-01,J10,collected,1
PI,2015-07-06,D11,collected,5
SO,2015-05-12,D01,collected,10
SO,2015-05-13,D02,collected,10
SO,2015-05-14,D04,collected,10
SO,2015-05-15,D02,collected,11
SO,2015-05-15,D03,collected,10
SO,2015-05-15,D05,collected,11
SO,2015-05-16,D06,collected,9
SO,2015-05-16,D07,collected,10
SO,2015-05-17,D02,collected,8
SO,2015-05-18,D03,collected,10
SO,2015-05-18,D05,collected,6
SO,2015-05-19,D08,results,8
SO,2015-05-20,D09,collected,1
SO,2015-05-20,D09,results,9
SO,2015-05-21,D03,collected,3
SO,2015-05-21,D07,collected,10
SO,2015-05-21,J06,collected,10
SO,2015-05-22,J04,collected,3
SO,2015-05-22,J07,collected,30
SO,2015-05-22,J08,collected,30
SO,2015-05-23,D10,collected,10
SO,2015-05-23,J03,collected,29
SO,2015-05-23,J09,collected,29
SO,2015-05-23,J10,collected,28
SO,2015-05-23,D08,results,11
SO,2015-05-23,J09,results,1
SO,2015-05-24,D09,collected,1
SO,2015-05-24,D11,collected,11
SO,2015-05-24,J06,collected,10
SO,2015-05-24,D09,results,9
SO,2015-05-24,J02,results,10
SO,2015-05-25,D08,collected,3
SO,2015-05-25,J04,collected,10
SO,2015-05-25,J05,collected,10
SO,2015-05-25,J08,collected,11
SO,2015-05-25,D08,results,8
SO,2015-05-26,D09,collected,1
SO,2015-05-26,D10,collected,10
SO,2015-05-26,J03,collected,10
SO,2015-05-26,J07,collected,9
SO,2015-05-26,D09,results,9
SO,2015-05-26,J09,results,10
SO,2015-05-27,J10,results,10
SO,2015-05-28,D09,collected,2
SO,2015-05-28,D10,collected,10
SO,2015-05-28,D09,results,8
SO,2015-05-29,J06,collected,10
SO,2015-05-30,D06,collected,10
SO,2015-05-30,J05,collected,10
SO,2015-05-30,J07,collected,8
SO,2015-05-30,J08,collected,11
SO,2015-05-31,J03,collected,11
SO,2015-05-31,J04,collected,10
SO,2015-05-31,J09,collected,1
SO,2015-05-31,D08,results,2
SO,2015-05-31,J09,results,9
SO,2015-06-01,D10,collected,10
SO,2015-06-01,D11,collected,11
SO,2015-06-01,J01,collected,1
SO,2015-06-01,J02,collected,1
SO,2015-06-01,J10,collected,1
SO,2015-06-01,D09,results,10
SO,2015-06-01,J01,results,9
SO,2015-06-01,J02,results,9
SO,2015-06-01,J10,results,9
SO,2015-06-03,D09,collected,1
SO,2015-06-03,D10,collected,10
SO,2015-06-03,D09,results,10
SO,2015-06-04,D06,collected,10
SO,2015-06-05,D07,collected,8
SO,2015-06-05,D10,collected,10
SO,2015-06-05,D09,results,10
SO,2015-06-06,J07,collected,11
SO,2015-06-07,D07,collected,10
SO,2015-06-07,D09,collected,3
SO,2015-06-07,J05,collected,11
SO,2015-06-07,J06,collected,10
SO,2015-06-07,J08,collected,10
SO,2015-06-07,D09,results,9
SO,2015-06-07,J09,results,11
SO,2015-06-08,J01,collected,2
SO,2015-06-08,J03,collected,10
SO,2015-06-08,J04,collected,10
SO,2015-06-08,J01,results,8
SO,2015-06-09,D07,collected,10
SO,2015-06-09,J02,collected,2
SO,2015-06-09,D09,results,10
SO,2015-06-09,J02,results,8
SO,2015-06-11,D09,collected,1
SO,2015-06-11,D09,results,9
SO,2015-06-13,D07,collected,10
SO,2015-06-14,D09,collected,1
SO,2015-06-14,D11,collected,10
SO,2015-06-14,J05,collected,10
SO,2015-06-14,J06,collected,11
SO,2015-06-14,J07,collected,11
SO,2015-06-14,D09,results,9
SO,2015-06-15,J03,collected,10
SO,2015-06-15,J04,collected,7
SO,2015-06-15,J08,collected,10
SO,2015-06-15,J10,collected,2
SO,2015-06-15,J10,results,8
SO,2015-06-16,J01,collected,4
SO,2015-06-16,J09,collected,3
SO,2015-06-16,J01,results,6
SO,2015-06-16,J02,results,6
SO,2015-06-16,J09,results,7
SO,2015-06-17,D08,results,10
SO,2015-06-18,D11,collected,10
SO,2015-06-18,D09,results,10
SO,2015-06-19,D06,collected,5
SO,2015-06-19,J02,collected,1
SO,2015-06-19,J09,collected,1
SO,2015-06-19,J10,collected,1
SO,2015-06-19,J02,results,8
SO,2015-06-19,J09,results,11
SO,2015-06-19,J10,results,10
SO,2015-06-20,D09,collected,1
SO,2015-06-20,D11,collected,3
SO,2015-06-20,J04,collected,13
SO,2015-06-20,J07,collected,10
SO,2015-06-20,J08,collected,5
SO,2015-06-20,D09,results,10
SO,2015-06-21,J05,collected,10
SO,2015-06-21,J06,collected,10
SO,2015-06-22,D09,collected,1
SO,2015-06-22,D10,collected,11
SO,2015-06-22,D09,results,9
SO,2015-06-23,D06,collected,6
SO,2015-06-23,J01,collected,1
SO,2015-06-23,J02,collected,1
SO,2015-06-23,J03,collected,10
SO,2015-06-23,J09,collected,1
SO,2015-06-23,J01,results,9
SO,2015-06-23,J02,results,9
SO,2015-06-23,J09,results,10
SO,2015-06-24,D10,collected,7
SO,2015-06-24,J05,collected,10
SO,2015-06-24,J06,collected,8
SO,2015-06-24,J07,collected,10
SO,2015-06-24,J08,collected,10
SO,2015-06-27,J10,collected,1
SO,2015-06-27,D09,results,11
SO,2015-06-27,J10,results,7
SO,2015-06-29,D11,collected,10
SO,2015-06-29,J07,collected,11
SO,2015-06-29,D09,results,8
SO,2015-07-01,J03,collected,2
SO,2015-07-01,J09,collected,3
SO,2015-07-01,J09,results,9
SO,2015-07-01,J10,results,4
SO,2015-07-02,D09,results,10
SO,2015-07-06,D11,collected,11
SO,2015-07-06,D09,results,4
SO,2015-07-07,D09,collected,1
SO,2015-07-07,J09,collected,7
SO,2015-07-07,D09,results,4
SO,2015-07-07,J09,results,3
SO,2015-07-14,D11,collected,5
SO,2015-07-14,D09,results,11
