survey_date,site_id,species,n_taken,n_dissected,n_remaining
2015-05-15,D05,PI,1,0,1
2015-05-18,D05,PI,1,0,1
2015-05-21,D03,PI,5,0,5
2015-05-24,D09,PI,2,0,2
2015-06-01,D11,PI,1,0,1
2015-06-03,D10,PI,1,0,1
2015-06-05,D10,PI,3,0,3
2015-06-14,D11,PI,2,0,2
2015-06-16,D11,PI,1,0,1
2015-06-20,D11,PI,2,0,2
2015-06-24,D11,PI,10,0,10
2015-07-05,D11,PI,10,0,10
2015-07-06,D11,PI,10,5,5
2015-07-07,D11,PI,10,0,10
2015-07-14,D11,PI,10,0,10
2015-05-25,J04,PI,2,0,2
2015-06-01,J01,PI,1,0,1
2015-06-01,J10,PI,2,0,2
2015-06-02,J07,PI,2,0,2
2015-06-04,J02,PI,1,0,1
2015-06-05,J01,PI,3,0,3
2015-06-06,J07,PI,3,0,3
2015-06-07,J08,PI,3,0,3
2015-06-08,J04,PI,2,0,2
2015-06-08,J01,PI,10,0,10
2015-06-11,J05,PI,10,0,10
2015-06-11,J07,PI,4,0,4
2015-06-14,J06,PI,10,0,10
2015-06-14,J07,PI,7,0,7
2015-06-14,J05,PI,2,0,2
2015-06-15,J08,PI,10,0,10
2015-06-15,J10,PI,10,0,10
2015-06-16,J01,PI,10,0,10
2015-06-17,J04,PI,10,0,10
2015-06-17,J08,PI,4,0,4
2015-06-18,J06,PI,2,0,2
2015-06-18,J07,PI,1,0,1
2015-06-18,J05,PI,10,0,10
2015-06-18,J01,PI,10,0,10
2015-06-19,J10,PI,10,0,10
2015-06-20,J04,PI,10,0,10
2015-06-20,J08,PI,10,0,10
2015-06-20,J07,PI,10,0,10
2015-06-21,J06,PI,9,0,9
2015-06-21,J05,PI,1,0,1
2015-06-21,J10,PI,8,0,8
2015-06-23,J01,PI,2,0,2
2015-06-24,J06,PI,10,0,10
2015-06-24,J05,PI,10,0,10
2015-06-24,J08,PI,10,0,10
2015-06-27,J10,PI,10,0,10
2015-06-27,J01,PI,10,0,10
2015-06-27,J09,PI,10,9,1
2015-06-28,J02,PI,10,0,10
2015-06-28,J03,PI,10,0,10
2015-06-29,J08,PI,10,0,10
2015-06-29,J07,PI,10,0,10
2015-07-01,J10,PI,10,2,8
2015-07-01,J09,PI,10,0,10
2015-05-12,D01,CU,10,0,10
2015-05-13,D02,CU,10,0,10
2015-05-15,D05,CU,5,0,5
2015-05-15,D02,CU,10,0,10
2015-05-15,D03,CU,10,0,10
2015-05-16,D07,CU,10,5,5
2015-05-17,D02,CU,10,0,10
2015-05-18,D03,CU,1,0,1
2015-05-18,D05,CU,10,0,10
2015-05-20,D09,CU,10,5,5
2015-05-21,D03,CU,10,0,10
2015-05-23,D10,CU,2,0,2
2015-05-24,D11,CU,10,0,10
2015-05-24,D09,CU,4,0,4
2015-05-25,D08,CU,10,0,10
2015-05-26,D10,CU,5,0,5
2015-05-26,D09,CU,10,5,5
2015-05-28,D10,CU,5,0,5
2015-05-28,D09,CU,10,5,5
2015-06-01,D11,CU,10,0,10
