seine_id,survey_date,site_id,SO_retained,SO_dissected,PI_retained,PI_dissected,CU_retained,CU_dissected,SO_sealice_collected,SO_sealice_results,PI_sealice_collected,PI_sealice_results,CU_sealice_collected,CU_sealice_results,n_sockeye_stock_id
DN200,2015-05-12,D01,30,10,0,0,10,0,10,0,0,0,0,0,9
DN201,2015-05-13,D02,30,10,0,0,10,0,10,0,0,0,0,0,10
DN202,2015-05-14,D04,30,10,0,0,0,0,10,0,0,0,0,0,10
DN203,2015-05-15,D05,30,11,1,0,5,0,11,0,0,0,0,0,11
DN204,2015-05-15,D02,30,11,0,0,10,0,11,0,0,0,0,0,11
DN205,2015-05-15,D03,30,10,0,0,10,0,10,0,0,0,0,0,10
DN206,2015-05-16,D06,30,9,2,2,10,10,9,0,0,0,0,0,9
DN207,2015-05-16,D07,30,10,1,1,10,5,10,0,1,0,0,0,10
DN208,2015-05-17,D02,8,8,0,0,10,0,8,0,0,0,0,0,8
DN209,2015-05-18,D03,30,10,0,0,1,0,10,0,0,0,0,0,10
DN210,2015-05-18,D05,6,6,1,0,10,0,6,0,0,0,0,0,6
DN211,2015-05-19,D08,30,8,2,2,10,10,8,8,0,0,0,0,8
DN212,2015-05-20,D09,30,10,0,0,10,5,10,9,0,0,0,0,9
DN214,2015-05-21,D03,3,3,5,0,10,0,3,0,0,0,0,0,3
DN215,2015-05-21,D07,30,10,8,8,10,10,10,0,4,0,0,0,10
DN216,2015-05-23,D08,29,11,0,0,10,10,11,11,0,0,0,0,11
DN217,2015-05-23,D10,30,10,2,2,2,0,10,0,0,0,0,0,9
DN220,2015-05-24,D11,30,11,0,0,10,0,11,0,0,0,0,0,11
DN221,2015-05-24,D09,30,10,2,0,4,0,10,9,0,0,0,0,10
DN224,2015-05-25,D08,30,11,0,0,10,0,11,8,0,0,0,0,11
DN228,2015-05-26,D10,30,10,0,0,5,0,10,0,0,0,0,0,10
DN230,2015-05-26,D09,30,10,0,0,10,5,10,9,0,0,0,0,10
DN237,2015-05-28,D10,30,10,0,0,5,0,10,0,0,0,0,0,10
DN239,2015-05-28,D09,30,10,0,0,10,5,10,8,0,0,0,0,9
DN240,2015-05-30,D06,30,10,0,0,10,10,10,0,0,0,0,0,10
DN243,2015-05-31,D08,2,2,1,1,10,10,2,2,1,0,0,0,2
DN249,2015-06-01,D10,30,10,0,0,0,0,10,0,0,0,0,0,10
DN250,2015-06-01,D11,30,11,1,0,10,0,11,0,0,0,0,0,10
DN251,2015-06-01,D09,30,10,0,0,10,5,10,10,0,0,0,0,10
DN252,2015-06-03,D10,30,10,1,0,10,0,10,0,0,0,0,0,8
DN253,2015-06-03,D11,12,0,0,0,10,0,0,0,0,0,0,0,0
DN254,2015-06-03,D09,30,11,1,1,10,0,11,10,0,0,0,0,10
DN255,2015-06-04,D08,29,0,0,0,2,0,0,0,0,0,0,0,0
DN258,2015-06-04,D06,15,10,4,4,3,0,10,0,0,0,0,0,10
DN260,2015-06-05,D10,22,11,3,0,10,0,10,0,0,0,0,0,11
DN262,2015-06-05,D09,30,10,0,0,10,5,10,10,0,0,0,0,10
DN263,2015-06-05,D07,13,10,0,0,10,10,8,0,0,0,0,0,10
DN268,2015-06-07,D09,30,12,1,1,10,5,12,9,0,0,0,0,12
DN269,2015-06-07,D07,30,10,6,6,10,10,10,0,0,0,0,0,9
DN270,2015-06-09,D09,27,10,1,1,10,5,10,10,0,0,0,0,10
DN273,2015-06-09,D07,30,10,2,2,10,5,10,0,0,0,0,0,10
DN274,2015-06-11,D09,30,10,1,5,10,5,10,9,0,0,0,0,9
DN275,2015-06-11,D07,1,0,3,3,10,0,0,0,0,0,0,0,0
DN282,2015-06-13,D07,22,10,3,3,10,10,10,0,0,0,0,0,10
DN283,2015-06-14,D09,26,10,1,1,10,6,10,9,0,0,0,0,9
DN284,2015-06-14,D11,30,10,2,0,10,0,10,0,0,0,0,0,10
DN292,2015-06-16,D11,30,0,1,0,10,0,0,0,0,0,0,0,0
DN294,2015-06-17,D08,12,11,0,0,10,10,10,10,0,0,0,0,11
DN298,2015-06-18,D11,30,10,0,0,10,0,10,0,0,0,0,0,10
DN299,2015-06-18,D09,30,10,0,0,10,5,10,10,0,0,0,0,10
DN301,2015-06-19,D06,5,5,0,0,10,10,5,0,0,0,0,0,5
DN305,2015-06-20,D11,3,3,2,0,10,0,3,0,0,0,0,0,3
DN306,2015-06-20,D09,30,11,0,0,10,5,11,10,0,0,0,0,11
DN312,2015-06-22,D10,30,11,0,0,10,0,11,0,0,0,0,0,11
DN314,2015-06-22,D09,29,10,7,7,10,5,10,9,0,0,0,0,10
DN317,2015-06-23,D06,6,6,4,4,10,10,6,0,0,0,0,0,6
DN318,2015-06-24,D10,7,7,0,0,10,0,7,0,0,0,0,0,7
DN319,2015-06-24,D11,9,0,10,0,10,0,0,0,0,0,0,0,0
DN320,2015-06-24,D09,30,0,0,0,5,5,0,0,0,0,0,0,0
DN321,2015-06-27,D09,19,11,10,10,10,5,11,11,0,0,0,0,11
DN325,2015-06-29,D11,30,10,0,0,10,0,10,0,0,0,0,0,10
DN326,2015-06-29,D09,8,8,2,2,10,7,8,8,2,0,0,0,8
