ufn,cm_lab,cpaf_lab,caf_lab,cgf_lab,lgf_lab,laf_lab,lpaf_lab,lpam_lab,lam_lab,ucal_lab,ulep_lab,lab_count_no_id,lice_collection_protocol,lice_id_protocol_lab
U100,2,2,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U129,1,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U223,0,1,0,0,0,0,0,0,0,0,0,15,labcount_2015,lportner
U224,2,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U225,1,0,0,1,0,0,0,0,0,0,0,17,labcount_2015,lportner
U230,1,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U240,1,1,0,0,0,0,0,0,0,0,0,17,labcount_2015,lportner
U245,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U246,3,1,0,0,0,0,0,0,0,0,0,24,labcount_2015,lportner
U247,0,0,0,1,0,0,0,0,0,0,0,6,labcount_2015,lportner
U248,0,3,1,0,0,0,0,0,0,0,0,42,labcount_2015,lportner
U249,2,1,1,2,0,0,0,0,0,0,0,14,labcount_2015,lportner
U250,0,0,0,0,0,0,0,0,0,0,0,19,labcount_2015,lportner
U251,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U252,0,0,0,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U253,0,1,0,0,0,0,0,0,0,0,0,2,labcount_2015,lportner
U254,0,1,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U255,0,0,0,0,0,0,0,0,0,0,0,22,labcount_2015,lportner
U256,0,0,0,1,0,0,0,0,0,0,0,10,labcount_2015,lportner
U260,1,0,0,1,0,0,0,0,0,0,0,19,labcount_2015,lportner
U261,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U262,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U272,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U273,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U274,1,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U281,0,0,0,0,0,0,0,0,0,0,0,4,labcount_2015,lportner
U284,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U285,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U286,0,0,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U299,1,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U300,1,0,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U307,2,1,0,0,0,0,0,0,0,0,0,3,labcount_2015,lportner
U308,0,1,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U310,0,1,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U317,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U318,1,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U319,1,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U320,0,1,1,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U327,0,0,0,0,0,0,0,0,0,0,0,1,labcount_2015,lportner
U329,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U330,0,0,0,0,0,0,0,0,0,0,0,6,labcount_2015,lportner
U331,1,1,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U333,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U334,0,0,0,0,0,0,0,0,0,1,0,11,labcount_2015,lportner
U335,0,0,0,0,0,0,1,0,0,0,0,8,labcount_2015,lportner
U336,2,1,0,0,0,0,0,0,0,0,0,14,labcount_2015,lportner
U341,0,0,0,1,0,0,0,0,0,0,0,15,labcount_2015,lportner
U342,0,0,1,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U343,0,0,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U347,0,0,1,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U349,1,1,0,0,0,0,0,0,0,0,0,17,labcount_2015,lportner
U350,0,0,0,0,0,0,0,0,0,0,0,12,labcount_2015,lportner
U351,0,1,0,0,0,0,0,0,0,0,0,5,labcount_2015,lportner
U355,1,1,0,0,0,0,0,0,0,0,0,8,labcount_2015,lportner
U356,0,0,0,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
U357,1,0,0,0,0,0,0,0,0,0,0,16,labcount_2015,lportner
U361,0,0,0,0,0,0,0,0,0,0,0,9,labcount_2015,lportner
U362,0,0,0,0,0,0,0,0,0,0,0,7,labcount_2015,lportner
U363,0,0,1,0,0,0,0,0,0,0,0,11,labcount_2015,lportner
