seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN200,DE100,3,targeted,40,11:40:00,49.9613,-124.747,30,NA,0,0,10,NA,1,NA,2,NA,NA,NA,1,NA
DN201,DE101,1,targeted,NA,09:49:00,50.07902,-124.8509,30,400,0,0,10,40,0,0,0,0,NA,NA,1,NA
DN202,DE102,1,targeted,NA,07:38:00,49.99932,-125.1395,30,300,0,0,0,0,0,0,7,10,NA,NA,1,NA
DN203,DE103,1,targeted,NA,07:50:00,50.16142,-124.8842,30,200,1,1,5,6,0,0,0,0,NA,NA,1,NA
DN204,DE104,1,targeted,NA,10:21:00,50.08007,-124.8511,30,300,0,0,10,10,0,0,1,1,NA,NA,1,NA
DN205,DE105,1,targeted,NA,13:28:00,50.11842,-125.07512,30,40,0,0,10,20,0,0,2,2,NA,NA,1,NA
DN206,DE106,1,targeted,NA,08:00:00,50.08005,-125.2468,30,600,2,NA,10,1000,4,NA,0,0,NA,NA,1,NA
DN207,DE107,1,targeted,NA,12:30:00,50.16412,-125.1602,30,500,1,NA,10,300,1,NA,10,10,NA,NA,1,NA
DN208,DE108,1,targeted,NA,09:00:00,50.08123,-124.8549,8,8,0,0,10,90,0,0,0,0,NA,NA,1,NA
DN209,DE109,1,targeted,NA,07:30:00,50.11405,-125.0787,30,70,0,0,1,10,0,0,2,2,NA,NA,1,NA
DN210,DE110,1,targeted,NA,11:30:00,50.1659,-124.8888,6,6,1,1,10,30,0,0,0,0,NA,NA,1,NA
DN211,DE111,1,targeted,NA,10:30:00,50.34273,-125.0841,30,200,2,NA,10,100,2,6,5,10,NA,NA,1,"Fish moved by jug from net to buckets (30 sockeye in one 5 gallon pale; 50 total chum, pink, herring, coho in a second five gallon pale and two aquaria) to avoid net collapse on fish during onshore wind."
DN212,DE112,1,targeted,NA,08:00:00,50.30787,-125.3293,30,200,0,0,10,30,1,1,10,30,NA,NA,1,NA
DN213,DE113,NA,NA,30,07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,From LR logbook
DN214,DE114,1,targeted,30,09:45:00,50.13705,-125.1175,3,3,5,5,10,30,1,5,0,0,NA,NA,1,"Coho: 4 out of 5 in net too large for Whirl-Pak, not taken."
DN215,DE115,2,targeted,17,13:00:00,50.18217,-125.1493,30,200,8,10,10,50,1,1,0,0,NA,NA,1,First set (40 fish) released due to net collapse. Second set targeted different school.
DN216,DE116,1,targeted,9,07:00:00,50.31962,-125.0395,29,29,0,0,10,40,1,2,1,1,NA,NA,1,NA
DN217,DE117,1,targeted,20,10:15:00,50.44365,-125.279,30,3000,2,10,2,100,0,0,1,10,NA,NA,1,NA
DN218,DE118,NA,NA,7,13:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,From LR logbook
DN219,DE119,NA,NA,12,14:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,From LR logbook
DN220,DE120,2,targeted,25,08:40:00,50.34655,-125.45602,30,200,0,0,10,300,1,1,6,10,NA,NA,1,NA
DN221,DE121,1,targeted,47,12:10:00,50.30723,-125.33345,30,200,2,2,4,4,0,0,1,1,NA,NA,1,NA
DN222,DE122,NA,NA,13,14:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN223,DE123,NA,NA,26,06:02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN224,DE124,1,targeted,0,07:35:00,50.3153,-125.05186,30,200,0,0,10,40,0,0,0,0,NA,NA,1,NA
DN225,DE125,1,targeted,22,10:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Set on 1 slider, no catch"
DN226,DE126,NA,NA,20,11:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN227,DE127,NA,NA,10,12:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN228,DE128,4,targeted,97,08:45:00,50.44466,-125.2804,30,200,0,0,5,10,1,1,1,2,NA,NA,1,NA
DN229,DE129,NA,NA,10,11:56:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN230,DE130,1,targeted,11,12:29:00,50.30795,-125.32452,30,40,0,0,10,10,0,0,0,0,NA,NA,1,NA
DN231,DE131,NA,NA,40,06:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN232,DE132,NA,NA,25,07:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN233,DE133,NA,NA,15,08:51:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN234,DE134,NA,NA,10,09:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN235,DE135,NA,NA,20,10:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN236,DE136,NA,NA,15,11:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN237,DE137,1,targeted,28,06:45:00,50.44941,-125.33027,30,30,0,0,5,10,0,0,1,1,NA,NA,1,NA
DN238,DE138,1,targeted,33,09:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CO = 6 total, released"
DN239,DE139,1,targeted,10,11:10:00,50.308839999999996,-125.32275,30,200,0,0,10,10,0,0,3,3,NA,NA,1,NA
DN240,DE140,1,targeted,36,10:19:00,50.10015,-125.27265,30,40,0,0,10,200,0,0,0,0,NA,NA,1,NA
DN241,DE141,NA,NA,42,13:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN242,DE142,NA,NA,25,18:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN243,DE143,1,targeted,5,06:25:00,50.31763,-125.04942,2,2,1,1,10,60,0,0,0,0,NA,NA,1,NA
DN244,DE144,NA,NA,21,08:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN245,DE145,1,targeted,22,09:32:00,50.06119,-124.87916,0,0,0,0,0,10,0,10,0,0,NA,NA,1,NA
DN246,DE146,1,targeted,16,10:49:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CU = 6 total, released"
DN247,DE147,NA,NA,19,12:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN248,DE148,1,targeted,30,13:04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,bycatch 200 squuid
DN249,DE149,1,targeted,4,06:34:00,50.44527,-125.2774,30,800,0,0,0,2,1,1,1,1,NA,NA,1,NA
DN250,DE150,3,targeted,35,09:32:00,50.34762,-125.45358,30,100,1,1,10,200,1,1,1,1,NA,NA,1,NA
DN251,DE151,1,targeted,5,12:53:00,50.30492,-125.33058,30,500,0,0,10,100,0,0,3,4,NA,NA,1,NA
DN252,DE152,3,targeted,56,06:42:00,50.44217,-125.27406,30,500,1,1,10,300,0,0,1,2,NA,NA,1,NA
DN253,DE153,2,targeted,19,10:21:00,50.34851,-125.44831,12,15,0,0,10,300,1,1,0,0,NA,NA,1,NA
DN254,DE154,1,targeted,20,13:11:00,50.30759,-125.32969,30,40,1,1,10,40,0,0,7,7,NA,NA,1,NA
DN255,DE155,1,targeted,13,06:23:00,50.31954,-125.04247,29,60,0,0,2,2,0,0,0,0,NA,NA,1,NA
DN256,DE156,NA,NA,16,09:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN257,DE157,NA,NA,12,10:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN258,DE158,2,targeted,27,11:32:00,50.07966,-125.24845,15,40,4,20,3,20,0,0,0,0,NA,NA,1,NA
DN259,DE159,NA,NA,20,14:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN260,DE160,1,targeted,19,07:00:00,50.44342,-125.27904,22,25,3,5,10,600,0,0,1,3,NA,NA,1,NA
DN261,DE161,NA,NA,15,10:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN262,DE162,1,targeted,15,10:59:00,50.30771,-125.32864,30,100,0,0,10,200,1,4,1,1,NA,NA,1,NA
DN263,DE163,1,targeted,9,14:00:00,50.19112,-125.14202,13,13,0,0,10,100,0,0,0,1,NA,NA,1,NA
DN264,DE164,1,targeted,22,10:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"CU = 100 total, CO = 1 total, released"
DN265,DE165,NA,NA,14,11:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN266,DE166,NA,NA,10,12:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN267,DE167,NA,NA,16,13:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN268,DE168,1,targeted,5,10:51:00,50.30812,-125.3269,30,40,1,1,10,10,0,0,1,1,NA,NA,1,NA
DN269,DE169,2,targeted,17,14:13:00,50.1915,-125.14292,30,30,6,6,10,70,0,0,0,0,NA,NA,1,NA
DN270,DE170,2,targeted,30,06:34:00,50.30734,-125.33514,27,27,1,1,10,100,0,0,3,3,NA,NA,1,Net collapse first set
DN271,DE171,2,targeted,27,10:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"First set 40 chum, second set 0 fish."
DN272,DE172,NA,NA,13,12:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
