survey_id,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,ysi_cast_id_0,ysi_cast_id_1,ctd_cast_id,zoop_sample_id,secchi,net_sets,survey_comments,sampling_week
DE100,2015-05-12,D01,DI,E,Hurtado Point,"Carolyn Knapper, Kristi Inman, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,3,10-15,NW,NA,"NA","NA",15B102233_2015-05-12 11:40:00_0,15B102233_2015-05-12 11:40:00_1,NA,NA,8.7,3,NA,May 12
DE101,2015-05-13,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,100,0,0,NA,NA,"NA","NA",15B102233_2015-05-13 09:49:00_0,15B102233_2015-05-13 09:49:00_1,NA,NA,12.1,1,NA,May 12
DE102,2015-05-14,D04,DI,W,Fransisco Point,"Carolyn Knapper, Ben Millard-Martin, Luke Rogers",none,100,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-14 07:38:00_0,15B102233_2015-05-14 07:38:00_1,NA,NA,8.5,1,NA,May 12
DE103,2015-05-15,D05,DI,E,Lewis Channel,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,0,0,NA,NA,"NA","NA",15B102233_2015-05-15 07:50:00_0,15B102233_2015-05-15 07:50:00_1,NA,QPK1005,10.3,1,NA,May 12
DE104,2015-05-15,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,0,0,NA,NA,"NA","NA",15B102233_2015-05-15 10:21:00_0,15B102233_2015-05-15 10:21:00_1,NA,QPK1007,NA,1,NA,May 12
DE105,2015-05-15,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-15 13:28:00_0,15B102233_2015-05-15 13:28:00_1,NA,QPK1009,7,1,NA,May 12
DE106,2015-05-16,D06,DI,W,Gowlland Harbour,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,0,0,5-10,NW,NA,"NA","NA",15B102233_2015-05-16 08:00:00_0,15B102233_2015-05-16 08:00:00_1,NA,QPK1011,NA,1,NA,May 19
DE107,2015-05-16,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,0,1,0.1-5,SW,NA,"NA","NA",15B102233_2015-05-16 12:30:00_0,15B102233_2015-05-16 12:30:00_1,NA,QPK1012,5,1,NA,May 19
DE108,2015-05-17,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,100,0,0.1-5,S,NA,"NA","NA",15B102233_2015-05-17 09:00:00_0,15B102233_2015-05-17 09:00:00_1,NA,QPK1013,11.9,1,NA,May 19
DE109,2015-05-18,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",none,0,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-18 07:30:00_0,15B102233_2015-05-18 07:30:00_1,NA,QPK1014,6.6,1,First problems with flowmeter observed: intermittent spinning.,May 19
DE110,2015-05-18,D05,DI,E,Lewis Channel,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",none,0,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-18 11:30:00_0,15B102233_2015-05-18 11:30:00_1,NA,QPK1015,NA,1,NA,May 19
DE111,2015-05-19,D08,DI,W,Calm Channel,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,5-10,NW,NA,"NA","NA",15B102233_2015-05-19 10:30:00_0,15B102233_2015-05-19 10:30:00_1,NA,QPK1016,6.1,1,NA,May 19
DE112,2015-05-20,D09,DI,C,Okisollo Channel,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,0.1-5,E,NA,"NA","NA",15B102233_2015-05-20 08:00:00_0,15B102233_2015-05-20 08:00:00_1,NA,QPK1017,11.4,1,Salmon Farms: Brent Island NA; Venture Point 12 pens stocked; Okisolo Channel no nets in pens; Barnes Bay no nets in pens.,May 19
DE113,2015-05-21,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,3,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,From LR logbook,May 19
DE114,2015-05-21,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-21 09:45:00_0,15B102233_2015-05-21 09:45:00_1,NA,QPK1018,4.6,1,NA,May 19
DE115,2015-05-21,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,"NA","NA",15B102233_2015-05-21 13:00:00_0,15B102233_2015-05-21 13:00:00_1,NA,QPK1019,4.2,2,NA,May 19
DE116,2015-05-23,D08,DI,W,Calm Channel,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,100,1,0,NA,NA,"NA","NA",15B102233_2015-05-23 07:00:00_0,15B102233_2015-05-23 07:00:00_1,NA,QPK1020,8.7,1,NA,May 26
DE117,2015-05-23,D10,DI,W,Hall Point,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,50,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-23 10:15:00_0,15B102233_2015-05-23 10:15:00_1,NA,QPK1021,11,1,NA,May 26
DE118,2015-05-23,D04,DI,W,Fransisco Point,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,0,1,0.1-5,SE,NA,"NA","NA",NA,NA,NA,NA,NA,0,From LR logbook,May 26
DE119,2015-05-23,D06,DI,W,Gowlland Harbour,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,25,1,0.1-5,SE,NA,"NA","NA",NA,NA,NA,NA,NA,0,From LR logbook,May 26
DE120,2015-05-24,D11,DI,NA,Turn Island,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,50,1,5-10,W,NA,"NA","NA",15B102233_2015-05-24 08:40:00_0,15B102233_2015-05-24 08:40:00_1,NA,QPK1022,9.8,2,NA,May 26
DE121,2015-05-24,D09,DI,C,Okisollo Channel,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,0,1,0.1-5,SW,NA,"NA","NA",15B102233_2015-05-24 12:10:00_0,15B102233_2015-05-24 12:10:00_1,NA,QPK1023,13.9,1,NA,May 26
DE122,2015-05-24,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,0,1,0.1-5,N,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE123,2015-05-25,D03,DI,E,Sutil Narrows,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE124,2015-05-25,D08,DI,W,Calm Channel,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,2,5-10,W,NA,"NA","NA",15B102233_2015-05-25 07:35:00_0,15B102233_2015-05-25 07:35:00_1,NA,QPK1024,7.3,1,NA,May 26
DE125,2015-05-25,D05,DI,E,Lewis Channel,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,2,5-10,NW,NA,"NA","NA",NA,NA,NA,NA,NA,1,"Set on 1 slider, no catch",May 26
DE126,2015-05-25,D02,DI,E,Kinghorn Island,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,50,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE127,2015-05-25,D01,DI,E,Hurtado Point,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,25,2,5-10,W,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE128,2015-05-26,D10,DI,W,Hall Point,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,100,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-26 08:45:00_0,15B102233_2015-05-26 08:45:00_1,NA,QPK1025,9.9,4,NA,May 26
DE129,2015-05-26,D11,DI,NA,Turn Island,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,0,2,10-15,W,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE130,2015-05-26,D09,DI,C,Okisollo Channel,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,0,1,0.1-5,W,NA,"NA","NA",15B102233_2015-05-26 12:29:00_0,15B102233_2015-05-26 12:29:00_1,NA,QPK1026,12.9,1,Nordic Queen (Chrys Neville's DFO chartered commercial seiner) set 500 m W of us 1.5 hours after our set.,May 26
DE131,2015-05-27,D08,DI,W,Calm Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,50,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE132,2015-05-27,D05,DI,E,Lewis Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,25,1,0.1-5,N,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE133,2015-05-27,D02,DI,E,Kinghorn Island,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,25,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE134,2015-05-27,D01,DI,E,Hurtado Point,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE135,2015-05-27,D03,DI,E,Sutil Narrows,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,1,0.1-5,NW,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE136,2015-05-27,D07,DI,C,Hoskyn Channel,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,2,0.1-5,N,NA,"NA","NA",NA,NA,NA,NA,NA,0,NA,May 26
DE137,2015-05-28,D10,DI,W,Hall Point,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,100,1,0.1-5,NW,NA,"NA","NA",15B102233_2015-05-28 06:45:00_0,15B102233_2015-05-28 06:45:00_1,NA,QPK1027,9.3,1,NA,May 26
DE138,2015-05-28,D11,DI,NA,Turn Island,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,0,2,5-10,W,NA,"NA","NA",NA,NA,NA,NA,NA,1,NA,May 26
