survey_id,set_number,seine_id,set_type,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,total_caught,collection_protocol,seine_comments,qc.x,survey_date,site_id,region,zone,site_name,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,survey_type,ysi_drop,ctd_drop,zoop_drop,survey_comments,qc.y
DE601,1,DE601N1,random,10:55:00,50.3056,-125.33005,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,confirmation of 0 fish on-site at the start of the season,SF,2019-05-10,D09,DI,C,Okisollo Channel,"Sam James, Krystal Bachen, Julian Gan, Sue Velasquez",none,0,0,0,NA,ebb tide,10:10:00,10:24:00,1,standard,1,2,4,"First offical survey to get 0s, also trained collection of eDNA",SF
DE602,1,DE602N1,random,09:25:00,50.3081,-125.32895,1,1,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,practice set,SJ,2019-05-13,D09,DI,C,Okisollo Channel,"Sam James, Krystal Bachen, Sarah Friesen, Tyrel Froese",none,50,0,0,NA,flood,07:58:00,08:12:00,3,standard,1,2,3,"3rd set on school with popping and dimpling close to shore, possibly pink and chum but did not capture",SJ
JE501,1,JE501N1,random,07:11:00,50.54511,-126.65926,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,TJ,2019-05-17,J03,JS,N,Cracroft Point,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",light,100,1,0.1-5,NW,ebb tide,06:30:00,06:45:00,1,standard,1,2,3,NA,TJ
JE502,1,JE502N1,random,10:05:00,50.60154,-126.70369,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,TJ,2019-05-17,J02,JS,N,Swanson Island,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,75,1,0.1-5,SE,flood,09:10:00,09:26:00,1,standard,1,2,3,"Lots of surface activity from rockfish, likely the majority of our recorded site activity. Lots of perch dimpling in the eelgrass in the bay.",TJ
JE503,1,JE503N1,targeted,07:27:00,50.53936,-126.78008,0,1,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,STB,2019-05-20,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,100,1,0.1-5,SE,ebb tide,06:33:00,06:48:00,3,standard,1,2,"3,4,5,6",Light rain began halfway through visual  transect,STB
JE503,2,JE503N2,targeted,08:15:00,50.55895,-126.77763,0,1,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,STB,2019-05-20,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,100,1,0.1-5,SE,ebb tide,06:33:00,06:48:00,3,standard,1,2,"3,4,5,6",Light rain began halfway through visual  transect,STB
JE503,3,JE503N3,targeted,09:00:00,50.53912,-126.77922,0,1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,STB,2019-05-20,J11,JS,S,Blinkhorn Bay,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",none,100,1,0.1-5,SE,ebb tide,06:33:00,06:48:00,3,standard,1,2,"3,4,5,6",Light rain began halfway through visual  transect,STB
JE504,1,JE504N1,random,11:40:00,50.54301,-126.81448,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,KD,2019-05-20,J09,JS,S,Blinkhorn Peninsula,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",light,100,1,0.1-5,SE,low slack,11:14:00,11:30:00,2,standard,1,2,"3,4,5,6",many juvenile rockfish,KD
JE504,2,JE504N2,random,12:15:00,50.54359,-126.81538,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,KD,2019-05-20,J09,JS,S,Blinkhorn Peninsula,"Katie Davidson, Erin Pippus, Sara Tremblay-Boyer, Tesarla Johnson",light,100,1,0.1-5,SE,low slack,11:14:00,11:30:00,2,standard,1,2,"3,4,5,6",many juvenile rockfish,KD
DE602,2,DE602N2,random,09:45:00,50.3081,-125.32895,1,1,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,practice set,SJ,2019-05-13,D09,DI,C,Okisollo Channel,"Sam James, Krystal Bachen, Sarah Friesen, Tyrel Froese",none,50,0,0,NA,flood,07:58:00,08:12:00,3,standard,1,2,3,"3rd set on school with popping and dimpling close to shore, possibly pink and chum but did not capture",SJ
DE602,3,DE602N3,targeted,10:00:00,50.3081,-125.32895,1,1,1,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,"set on area where dimples and poppers seen, but didn't capture any fish",SJ,2019-05-13,D09,DI,C,Okisollo Channel,"Sam James, Krystal Bachen, Sarah Friesen, Tyrel Froese",none,50,0,0,NA,flood,07:58:00,08:12:00,3,standard,1,2,3,"3rd set on school with popping and dimpling close to shore, possibly pink and chum but did not capture",SJ
DE605,1,DE605N1,random,08:00:00,50.24247,-125.3975,0,0,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,SEMSP,NA,SF,2019-05-15,D22,DI,W,McMullen Point,"Sam James, Tyrel Froese, Julian Gan, Emily Haughton",none,100,1,0.1-5,NW,ebb tide,07:30:00,07:43:00,1,standard,1,3,2,first official zero for Discovery Passage,SF
