survey_id,survey_date,site_id,site_name.x,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,survey_type,ysi_drop,ctd_drop,survey_comments,qc.x,site_name.y,region,zone,set_number,seine_id,set_type,lat,lon,set_time,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,total_caught,collection_protocol,seine_comments,qc.y
DE700,2020-05-15,D07,NA,Brett Johnson; Krystal Bachen; Nick Sinclair,none,50,1,,S,flood,NA,NA,NA,non-standard,NA,,"Training. Unofficial ""0"" for sockeye",TvdS,Hoskyn Channel,DI,C,1,DE700N1,targeted,50.19111,-125.144453,1899-12-30T11:00:00Z,NA,NA,NA,no,0,0,0,4,0,3,0,0,0,0,0,0,7,NA,training set; set time not recorded,TvdS
DE701,2020-05-19,D09,NA,Nick Sinclair; Krystal Bachen; Julian Gan,none,50,1,,"NA",ebb,1899-12-30T06:55:00Z,1899-12-30T07:11:00Z,1,standard,1;2;3;4,,No CTD due to unable to initialize it in the morning,TvdS,Okisollo Channel,DI,C,2,DE701N2,targeted,50.307583,-125.33415,1899-12-30T08:00:00Z,1,10,0,yes,1,1,11,73,10,21,0,0,0,0,1,1,96,SEMSP,"Seine ""1"" was botched and thus not recorded. Retained 1 PI trainer.",TvdS
DE702,2020-05-22,D10,NA,Nick Sinclair; Krystal Bachen; Julian Gan,none,75,2,,NW,ebb,1899-12-30T07:01:00Z,1899-12-30T07:20:00Z,1,standard,1;2;4;7,,CTD did not record casts,TvdS,Hall Point,DI,E,1,DE702N1,targeted,50.4383,-125.2686,1899-12-30T08:24:00Z,10,10,0,yes,30,1961,6,14,0,0,0,0,0,1,0,0,1976,SEMSP,Fish stressed ~90% fair; 10% poor. Heavy current made hauling in the net challenging. Once anchored and established; fish settled. Slight scaling on net.,TvdS
DE703,2020-05-26,D09,NA,Julian Gan; Krystal Bachen; Isabelle Desmarais,none,25,2,,NW,flood,1899-12-30T07:06:00Z,1899-12-30T07:21:00Z,1,standard,1;2;4;6,,NA,TvdS,Okisollo Channel,DI,C,1,DE703N1,targeted,50.46056,-125.38694,1899-12-30T08:00:00Z,1,1,0,yes,30,91,0,0,0,0,0,0,0,1,0,0,92,SEMSP,Heavy gusts impacted fish health while holding; so had to release after SO retention and not go after herring.,TvdS
DE704,2020-05-27,D27,NA,Julian Gan; Krystal Bachen; Isabelle Desmarais,none,0,2,,"NA",flood,1899-12-30T06:59:00Z,1899-12-30T07:12:00Z,1,standard,1;2;4;6,,CTD did not record casts,TvdS,Granite Point,DI,W,1,DE704N1,targeted,50.35722,-125.46279,1899-12-30T07:57:00Z,0,0,0,yes,5,5,10,634,3,9,0,0,0,0,5,8,656,SEMSP,"""Young adult"" coho and lingcod had to be cut out of large mesh",TvdS
DE705,2020-06-01,D07,NA,Nick Sinclair; Krystal Bachen; Julian Gan;Tim Van Der Stap,none,0,2,,NW,flood,NA,NA,NA,non-standard,1,,Training set; no eDNA,TvdS,Hoskyn Channel,DI,C,1,DE705N1,targeted,50.190517,-125.1452,1899-12-30T12:30:00Z,0,1,0,no,0,1,0,80,0,19,0,0,0,0,0,0,100,SEMSP,NA,TvdS
DE706,2020-06-02,D09,NA,Nick Sinclair; Krystal Bachen;Tim Van Der Stap,light,100,0,,"NA",flood,1899-12-30T06:44:00Z,1899-12-30T07:00:00Z,2,standard,1;2;3;5;7,,NA,TvdS,Okisollo Channel,DI,C,1,DE706N1,targeted,50.307117,-125.331233,1899-12-30T07:18:00Z,0,1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,SEMSP,Lots of kelp in net,TvdS
DE706,2020-06-02,D09,NA,Nick Sinclair; Krystal Bachen;Tim Van Der Stap,light,100,0,,"NA",flood,1899-12-30T06:44:00Z,1899-12-30T07:00:00Z,2,standard,1;2;3;5;7,,NA,TvdS,Okisollo Channel,DI,C,2,DE706N2,targeted,50.306667,-125.332067,1899-12-30T07:51:00Z,0,1,0,yes,30,319,10,53,3,3,0,0,4,4,0,0,379,SEMSP,NA,TvdS
DE708,2020-06-05,D35,NA,Krystal Bachen; Julian Gan;Tim Van Der Stap,none,100,2,,NW,low slack,1899-12-30T10:45:00Z,1899-12-30T10:59:00Z,2,standard,1;2;3;6,,NA,TvdS,Denham Bay,DI,E,1,DE708N1,targeted,50.4531,-125.25143,1899-12-30T11:19:00Z,0,1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,SEMSP,NA,TvdS
DE708,2020-06-05,D35,NA,Krystal Bachen; Julian Gan;Tim Van Der Stap,none,100,2,,NW,low slack,1899-12-30T10:45:00Z,1899-12-30T10:59:00Z,2,standard,1;2;3;6,,NA,TvdS,Denham Bay,DI,E,2,DE708N2,targeted,50.434167,-125.26273,1899-12-30T12:00:00Z,1,1,1,yes,3,3,10,96,10,19,4,6,0,0,0,0,124,SEMSP,NA,TvdS
