ufn,package_id,species,seine_id,survey_id.x,survey_date,site_id,time_out,weight_field,fork_length_field,height,time_dewar,field_lice_id_protocol,fish_field_comments,analysis_planned,id_flag,eLab?,qc.x,order,survey_id.y,set_number,set_type,lat,lon,set_time,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,total_caught,collection_protocol,seine_comments,qc.y
U24711,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:06:00Z,4,79,16,1899-12-30T11:21:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,1,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24712,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:19:00Z,3.7,74,14,1899-12-30T11:39:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,2,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24713,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:26:00Z,4.4,82,15,1899-12-30T11:39:00Z,modified_salmoncaost_allstages,"large abbrasion on right flank by tail, left gil plate slightly missaligned",JSP,N,yes,KB,3,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24714,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:34:00Z,4.3,76,13,1899-12-30T12:00:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,4,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24715,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:37:00Z,3.9,76,15,1899-12-30T12:00:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,5,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24716,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:41:00Z,3.9,79,16,1899-12-30T12:00:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,6,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24717,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:44:00Z,4,83,15,1899-12-30T12:00:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,7,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24718,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:51:00Z,4.5,84,15,1899-12-30T12:19:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,8,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24719,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T12:00:00Z,3,74,14,1899-12-30T12:19:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,9,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24720,P1672,CU,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T12:05:00Z,4.6,81,15,1899-12-30T12:19:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,10,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24701,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:24:00Z,3.6,78,15,1899-12-30T11:54:00Z,NA,,JSP,N,yes,KB,11,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24702,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:29:00Z,4.2,80,15,1899-12-30T11:54:00Z,NA,,JSP,N,yes,KB,12,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24703,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:30:00Z,3.7,77,15,1899-12-30T11:54:00Z,NA,,JSP,N,yes,KB,13,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24704,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:48:00Z,2.2,67,11,1899-12-30T12:11:00Z,NA,,JSP,N,yes,KB,14,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24705,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:49:00Z,3.3,78,15,1899-12-30T12:11:00Z,NA,,JSP,N,yes,KB,15,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24706,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:56:00Z,3.8,78,16,1899-12-30T12:11:00Z,NA,,JSP,N,yes,KB,16,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24707,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T11:59:00Z,2.4,76,14,1899-12-30T12:11:00Z,NA,,JSP,N,yes,KB,17,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24708,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T12:08:00Z,2.2,69,12,1899-12-30T12:27:00Z,NA,,JSP,N,yes,KB,18,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24709,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T12:10:00Z,3.4,75,15,1899-12-30T12:27:00Z,NA,,JSP,N,yes,KB,19,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24710,P1671,PI,DE903N3,DE903,2022-05-24T00:00:00Z,D09,1899-12-30T12:11:00Z,3.9,81,14,1899-12-30T12:27:00Z,NA,,JSP,N,yes,KB,20,DE903,3,targeted,50.308017,-125.329183,1899-12-30T10:21:00Z,0,0,100,yes,0,0,10,933,10,113,0,0,0,0,0,0,1046,SEMSP,,KB
U24751,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:12:00Z,4.7,81,12,1899-12-30T08:44:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,21,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24752,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:23:00Z,6.8,96,13,1899-12-30T08:44:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,22,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24753,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:25:00Z,15.5,118,21,1899-12-30T08:58:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,23,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24754,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:26:00Z,6.4,91,15,1899-12-30T08:58:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,24,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24755,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:27:00Z,6.4,93,15,1899-12-30T08:58:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,25,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24756,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:31:00Z,7.3,105,20,1899-12-30T09:22:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,26,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24757,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:35:00Z,7,101,17,1899-12-30T09:22:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,27,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24758,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:40:00Z,4.7,85,14,1899-12-30T09:22:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,28,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24759,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:44:00Z,5.8,86,15,1899-12-30T09:22:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,29,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24760,P1676,CU,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:45:00Z,3,70,10,1899-12-30T09:22:00Z,modified_salmoncaost_allstages,,JSP,N,yes,KB,30,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24721,P1673,PI,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:28:00Z,6.2,103,15,1899-12-30T08:49:00Z,NA,,JSP,N,yes,KB,31,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24722,P1673,PI,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:29:00Z,6.4,105,16,1899-12-30T08:49:00Z,NA,,JSP,N,yes,KB,32,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24723,P1673,PI,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:36:00Z,3.9,84,13,1899-12-30T09:12:00Z,NA,,JSP,N,yes,KB,33,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24724,P1673,PI,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:38:00Z,4.1,85,13,1899-12-30T09:12:00Z,NA,,JSP,N,yes,KB,34,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
U24725,P1673,PI,DE906N1,DE906,2022-05-30T00:00:00Z,D09,1899-12-30T08:42:00Z,5.8,89,15,1899-12-30T09:12:00Z,NA,,JSP,N,yes,KB,35,DE906,1,targeted,50.307933,-125.33025,1899-12-30T08:05:00Z,1,10,0,yes,0,0,10,164,10,296,0,0,0,0,0,0,460,SEMSP,Rockfish found in net the next day. It was hidden within a large clump of kelp that came on the boat - next time will make sure all kelp clumps are sorted through as the come aboard.,KB
