survey_date,seine_id,region,lat,lon,sampling_week,year,species,n,yday
2015-05-16,DE107N1,DI,50.16412,-125.1602,May 19,2015,so_total,500,136
2015-05-19,DE111N1,DI,50.34273,-125.0841,May 19,2015,so_total,200,139
2015-05-20,DE112N1,DI,50.30787,-125.3293,May 19,2015,so_total,200,140
2015-05-21,DE115N2,DI,50.18217,-125.1493,May 19,2015,so_total,200,141
2015-05-23,DE116N1,DI,50.31962,-125.0395,May 26,2015,so_total,29,143
2015-05-23,DE117N1,DI,50.44365,-125.279,May 26,2015,so_total,3000,143
2015-05-24,DE121N1,DI,50.30723,-125.33345,May 26,2015,so_total,200,144
2015-05-25,DE124N1,DI,50.3153,-125.05186,May 26,2015,so_total,200,145
2015-05-26,DE128N4,DI,50.44466,-125.2804,May 26,2015,so_total,200,146
2015-05-26,DE130N1,DI,50.30795,-125.32452,May 26,2015,so_total,40,146
2015-05-28,DE137N1,DI,50.44941,-125.33027,May 26,2015,so_total,30,148
2015-05-28,DE139N1,DI,50.308839999999996,-125.32275,May 26,2015,so_total,200,148
2015-05-31,DE143N1,DI,50.31763,-125.04942,June 2,2015,so_total,2,151
2015-06-01,DE149N1,DI,50.44527,-125.2774,June 2,2015,so_total,800,152
2015-06-01,DE151N1,DI,50.30492,-125.33058,June 2,2015,so_total,500,152
2015-06-03,DE152N3,DI,50.44217,-125.27406,June 2,2015,so_total,500,154
2015-06-03,DE154N1,DI,50.30759,-125.32969,June 2,2015,so_total,40,154
2015-06-04,DE155N1,DI,50.31954,-125.04247,June 2,2015,so_total,60,155
2015-06-05,DE160N1,DI,50.44342,-125.27904,June 2,2015,so_total,25,156
2015-06-05,DE162N1,DI,50.30771,-125.32864,June 2,2015,so_total,100,156
2015-06-05,DE163N1,DI,50.19112,-125.14202,June 2,2015,so_total,13,156
2015-06-07,DE168N1,DI,50.30812,-125.3269,June 9,2015,so_total,40,158
2015-06-07,DE169N2,DI,50.1915,-125.14292,June 9,2015,so_total,30,158
2015-06-09,DE170N2,DI,50.30734,-125.33514,June 9,2015,so_total,27,160
2015-06-09,DE173N1,DI,50.19077,-125.14249,June 9,2015,so_total,200,160
2015-06-11,DE174N1,DI,50.30806,-125.32972,June 9,2015,so_total,100,162
2015-06-11,DE175N1,DI,50.19017,-125.14437,June 9,2015,so_total,1,162
2015-06-13,DE182N1,DI,50.19051,-125.1444,June 16,2015,so_total,23,164
2015-06-14,DE183N2,DI,50.30767,-125.33023,June 16,2015,so_total,26,165
2015-06-17,DE194N1,DI,50.32119,-125.03856,June 16,2015,so_total,13,168
2015-06-18,DE199N1,DI,50.30819,-125.32694,June 16,2015,so_total,50,169
2015-06-20,DE206N1,DI,50.30597,-125.33588,June 23,2015,so_total,200,171
2015-06-22,DE212N2,DI,50.44949,-125.32427,June 23,2015,so_total,60,173
2015-06-22,DE214N1,DI,50,-125,June 23,2015,so_total,100,173
2015-06-24,DE218N1,DI,50.44045,-125.27069,June 23,2015,so_total,7,175
2015-06-24,DE220N1,DI,50.30698,-125.3259,June 23,2015,so_total,240,175
2015-06-27,DE221N1,DI,50.30702,-125.33509,June 30,2015,so_total,20,178
2015-06-29,DE226N2,DI,50.30764,-125.33348,June 30,2015,so_total,8,180
2015-07-02,DE231N2,DI,50.30377,-125.33768,June 30,2015,so_total,60,183
2015-07-06,DE236N1,DI,50.30641,-125.31584,July 6,2015,so_total,4,187
2015-07-07,DE239N2,DI,50.3079,-125.32955,July 6,2015,so_total,5,188
2016-05-09,DE245N1,DI,50.318037,-125.049415,May 12,2016,so_total,0,130
2016-05-09,DE245N2,DI,50.318037,-125.049415,May 12,2016,so_total,0,130
2016-05-14,DE260N1,DI,50.32113,-125.040588,May 12,2016,so_total,2,135
2016-05-14,DE261N1,DI,50.19304,-125.136573,May 12,2016,so_total,100,135
2016-05-15,DE262N1,DI,50.287179,-125.33416,May 19,2016,so_total,0,136
2016-05-15,DE263N1,DI,50.243454,-125.398108,May 19,2016,so_total,700,136
2016-05-19,DE274N1,DI,50.319977,-125.042165,May 19,2016,so_total,100,140
2016-05-19,DE276N1,DI,50.191099,-125.138578,May 19,2016,so_total,100,140
2016-05-23,DE277N1,DI,50.30908,-125.325703,May 26,2016,so_total,600,144
2016-05-23,DE278N1,DI,50.274701,-125.377445,May 26,2016,so_total,600,144
2016-05-23,DE279N1,DI,50.224106,-125.395004,May 26,2016,so_total,0,144
2016-05-23,DE279N2,DI,50.224106,-125.395004,May 26,2016,so_total,600,144
2016-05-26,DE284N1,DI,50.3175,-125.050736,May 26,2016,so_total,3,147
2016-05-26,DE284N2,DI,50.3175,-125.050736,May 26,2016,so_total,2,147
2016-05-26,DE287N1,DI,50.190737,-125.143169,May 26,2016,so_total,600,147
2016-05-27,DE288N1,DI,50.243773,-125.397476,May 26,2016,so_total,400,148
2016-05-27,DE290N1,DI,50.304166,-125.333511,May 26,2016,so_total,0,148
2016-05-27,DE290N2,DI,50.304166,-125.333511,May 26,2016,so_total,200,148
2016-06-01,DE292N1,DI,50.308769,-125.326765,June 2,2016,so_total,200,153
2016-06-01,DE293N1,DI,50.274055,-125.328828,June 2,2016,so_total,1000,153
2016-06-01,DE294N1,DI,50.24565,-125.396035,June 2,2016,so_total,50,153
2016-06-02,DE297N1,DI,50.462513,-125.368231,June 2,2016,so_total,300,154
2016-06-03,DE300N1,DI,50.190887,-125.143416,June 2,2016,so_total,600,155
2016-06-07,DE301N1,DI,50.30436,-125.332956,June 9,2016,so_total,80,159
2016-06-07,DE302N1,DI,50.242671,-125.398265,June 9,2016,so_total,570,159
2016-06-08,DE305N1,DI,50.461604,-125.368943,June 9,2016,so_total,0,160
2016-06-08,DE305N2,DI,50.461604,-125.368943,June 9,2016,so_total,100,160
2016-06-09,DE307N1,DI,50.31794,-125.050807,June 9,2016,so_total,0,161
2016-06-09,DE308N1,DI,50.190683,-125.143138,June 9,2016,so_total,80,161
2016-06-14,DE320N1,DI,50.235322,-125.39888,June 16,2016,so_total,200,166
2016-06-14,DE321N1,DI,50.275083,-125.381356,June 16,2016,so_total,6,166
2016-06-14,DE322N1,DI,50.307203,-125.332605,June 16,2016,so_total,100,166
2016-06-16,DE323N1,DI,50.319224,-125.044219,June 16,2016,so_total,0,168
2016-06-16,DE327N1,DI,50.191383,-125.143884,June 16,2016,so_total,100,168
2016-06-16,DE327N2,DI,50.191383,-125.143884,June 16,2016,so_total,300,168
2016-06-21,DE329N1,DI,50.30661,-125.335266,June 23,2016,so_total,0,173
2016-06-21,DE329N2,DI,50.30661,-125.335266,June 23,2016,so_total,14,173
2016-06-21,DE331N1,DI,50.236643,-125.39734,June 23,2016,so_total,0,173
2016-06-22,DE338N1,DI,50.458706,-125.365059,June 23,2016,so_total,50,174
2016-06-29,DE350N2,DI,50.307068,-125.329361,June 30,2016,so_total,0,181
2016-06-30,DE355N1,DI,50.462531,-125.359047,June 30,2016,so_total,6,182
2016-07-06,DE360N1,DI,50.275178,-125.378066,July 6,2016,so_total,24,188
2016-07-06,DE361N1,DI,50.304502,-125.336639,July 6,2016,so_total,1,188
2016-07-06,DE361N2,DI,50.307066,-125.322977,July 6,2016,so_total,8,188
2017-05-25,DE365N1,DI,50.309067,-125.3257,May 26,2017,so_total,30,145
2017-05-26,DE366N1,DI,50.17999062,-125.0189455,May 26,2017,so_total,168,146
2017-05-29,DE367N1,DI,50.309278,-125.320699,May 26,2017,so_total,8,149
2017-06-05,DE370N1,DI,50.274875,-125.376937,June 2,2017,so_total,420,156
2017-06-07,DE371N1,DI,50.307761,-125.325384,June 9,2017,so_total,380,158
2017-06-07,DE371N2,DI,50.306252,-125.336051,June 9,2017,so_total,105,158
2017-06-12,DE372N1,DI,50.3041,-125.33841,June 9,2017,so_total,85,163
2017-06-12,DE372N2,DI,50.307811,-125.329505,June 9,2017,so_total,30,163
2017-06-26,DE373N1,DI,50.29725,-125.338485,June 23,2017,so_total,23,177
2017-06-26,DE373N2,DI,50.297362,-125.339472,June 23,2017,so_total,14,177
2017-06-28,DE374N1,DI,50.434701,-125.26607,June 30,2017,so_total,10,179
2017-07-04,DE375N1,DI,50.27485,-125.377707,July 6,2017,so_total,4,185
2017-06-13,DE376N1,DI,50.274596,-125.377527,June 16,2017,so_total,130,164
2017-06-13,DE376N2,DI,50.274783,-125.377569,June 16,2017,so_total,21,164
2017-06-19,DE377N1,DI,50.236254,-125.398402,June 16,2017,so_total,40,170
2017-06-20,DE378N1,DI,50.304561,-125.337253,June 23,2017,so_total,10,171
2017-07-04,DE379N1,DI,50.237837,-125.396111,July 6,2017,so_total,0,185
2017-07-05,DE380N1,DI,50.307981,-125.320206,July 6,2017,so_total,2,186
2015-05-23,JE107N2,JS,50.54648,-126.67096,May 26,2015,so_total,300,143
2015-05-23,JE108N2,JS,50.54039,-126.78096,May 26,2015,so_total,200,143
2015-05-24,JE110N2,JS,50.60101,-126.70394,May 26,2015,so_total,400,144
2015-05-26,JE117N2,JS,50.54672,-126.67256,May 26,2015,so_total,1000,146
2015-05-26,JE118N1,JS,50.53989,-126.78256,May 26,2015,so_total,1500,146
2015-05-27,JE122N2,JS,50.53957,-126.7781,May 26,2015,so_total,2000,147
2015-05-31,JE133N1,JS,50.54605,-126.66218,June 2,2015,so_total,400,151
2015-05-31,JE134N1,JS,50.53808,-126.77494,June 2,2015,so_total,400,151
2015-06-01,JE136N1,JS,50.60051,-126.70319,June 2,2015,so_total,400,152
2015-06-03,JE145N1,JS,50.53944,-126.78254,June 2,2015,so_total,100,154
2015-06-04,JE147N1,JS,50.54216,-126.63511,June 2,2015,so_total,200,155
2015-06-04,JE148N3,JS,50.5956,-126.69022,June 2,2015,so_total,300,155
2015-06-07,JE159N1,JS,50.539,-126.7781,June 9,2015,so_total,400,158
2015-06-08,JE161N1,JS,50.54418,-126.63202,June 9,2015,so_total,200,159
2015-06-09,JE163N1,JS,50.59537,-126.69062,June 9,2015,so_total,200,160
2015-06-13,JE171N2,JS,50.53988,-126.78291,June 16,2015,so_total,1000,164
2015-06-15,JE177N2,JS,50.54719,-126.67487,June 16,2015,so_total,100,166
2015-06-16,JE180N2,JS,50.59549,-126.69036,June 16,2015,so_total,6,167
2015-06-16,JE181N2,JS,50.54327,-126.81252,June 16,2015,so_total,700,167
2015-06-17,JE184N1,JS,50.5463,-126.66727,June 16,2015,so_total,3,168
2015-06-19,JE189N2,JS,50.54362,-126.81951,June 16,2015,so_total,200,170
2015-06-19,JE191N1,JS,50.60263,-126.70188,June 16,2015,so_total,50,170
2015-06-23,JE199N2,JS,50.54774,-126.67774,June 23,2015,so_total,50,174
2015-06-23,JE201N3,JS,50.60237,-126.70219,June 23,2015,so_total,18,174
2015-06-23,JE202N1,JS,50.54414,-126.81843,June 23,2015,so_total,500,174
2015-06-27,JE209N1,JS,50.5438,-126.81988,June 30,2015,so_total,100,178
2015-06-28,JE210N2,JS,50.60255,-126.70201,June 30,2015,so_total,0,179
2015-06-28,JE211N1,JS,50.54277,-126.64149,June 30,2015,so_total,0,179
2015-07-01,JE217N1,JS,50.54703,-126.67197,June 30,2015,so_total,3,182
2015-07-01,JE218N1,JS,50.54329,-126.8169,June 30,2015,so_total,40,182
2016-05-22,JE237N1,JS,50.543296,-126.816816,May 26,2016,so_total,40,143
2016-05-22,JE239N2,JS,50.54692,-126.67193,May 26,2016,so_total,0,143
2016-05-22,JE240N1,JS,50.601718,-126.701857,May 26,2016,so_total,500,143
2016-05-27,JE248N1,JS,50.543432,-126.8134,May 26,2016,so_total,400,148
2016-05-28,JE250N2,JS,50.60125,-126.704457,May 26,2016,so_total,750,149
2016-05-28,JE251N1,JS,50.545897,-126.668909,May 26,2016,so_total,100,149
2016-06-01,JE252N1,JS,50.60125,-126.704457,June 2,2016,so_total,2000,153
2016-06-02,JE255N2,JS,50.543432,-126.8134,June 2,2016,so_total,600,154
2016-06-04,JE261N1,JS,50.543029,-126.632233,June 2,2016,so_total,700,156
2016-06-09,JE262N1,JS,50.544941,-126.816489,June 9,2016,so_total,600,161
2016-06-09,JE264N1,JS,50.602327,-126.701507,June 9,2016,so_total,200,161
2016-06-10,JE266N1,JS,50.547475,-126.676942,June 9,2016,so_total,100,162
2016-06-17,JE272N2,JS,50.602051,-126.704553,June 16,2016,so_total,2000,169
2016-06-18,JE274N2,JS,50.579393,-126.714162,June 16,2016,so_total,100,170
2016-06-18,JE276N1,JS,50.546326,-126.669166,June 16,2016,so_total,6,170
2016-06-23,JE284N1,JS,50.54401,-126.81461,June 23,2016,so_total,1,175
2016-06-23,JE286N1,JS,50.55803,-126.73463,June 23,2016,so_total,27,175
2016-06-24,JE288N1,JS,50.6017,-126.70318,June 23,2016,so_total,4,176
2016-07-04,JE294N2,JS,50.601529,-126.703784,July 6,2016,so_total,2,186
2016-07-04,JE298N1,JS,50.543818,-126.794456,July 6,2016,so_total,50,186
2017-06-06,JE304N2,JS,50.54522,-126.65949,June 9,2017,so_total,23,157
2017-06-06,JE305N1,JS,50.6022,-126.70567,June 9,2017,so_total,600,157
2017-06-13,JE306N1,JS,50.5438,-126.80927,June 16,2017,so_total,325,164
2017-06-13,JE306N2,JS,50.54393,-126.8131,June 16,2017,so_total,130,164
2017-06-14,JE307N1,JS,50.54411,-126.65398,June 16,2017,so_total,300,165
2017-06-20,JE308N1,JS,50.60233,-126.70309,June 23,2017,so_total,200,171
2017-06-21,JE309N1,JS,50.54487,-126.81252,June 23,2017,so_total,175,172
2017-06-21,JE309N2,JS,50.54628,-126.81474,June 23,2017,so_total,120,172
2017-06-27,JE310N1,JS,50.54574,-126.81679,June 30,2017,so_total,26,178
2017-06-27,JE310N2,JS,50.54582,-126.81618,June 30,2017,so_total,390,178
2017-06-28,JE311N5,JS,50.60278,-126.70284,June 30,2017,so_total,43,179
2017-07-07,JE312N1,JS,50.54505,-126.65729,July 6,2017,so_total,0,188
2017-07-07,JE313N1,JS,50.60144,-126.70046,July 6,2017,so_total,0,188
2017-07-06,JE314N1,JS,50.54372,-126.81769,July 6,2017,so_total,1,187
2017-07-06,JE314N2,JS,50.54454,-126.81227,July 6,2017,so_total,0,187
2018-05-11,DE505N2,DI,50.3154,-125.053,May 12,2018,so_total,0,131
2018-05-14,DE506N1,DI,50.18167,-125.1523,May 12,2018,so_total,0,134
2018-05-15,DE510N1,DI,50.309206,-125.323291,May 12,2018,so_total,0,135
2018-05-17,JE412N1,JS,50.53912,-126.77893,May 19,2018,so_total,0,137
2018-05-17,DE516N1,DI,50.316983,-125.049967,May 19,2018,so_total,0,137
2018-05-17,DE516N2,DI,50.316117,-125.052167,May 19,2018,so_total,0,137
2018-05-21,JE401N1,JS,50.5429,-126.81615,May 19,2018,so_total,0,141
2018-05-21,JE402N1,JS,50.53927,-126.78078,May 19,2018,so_total,3,141
2018-05-22,DE517N2,DI,50.31006,-125.317963,May 19,2018,so_total,40,142
2018-05-23,DE531N1,DI,50.271333,-125.368,May 26,2018,so_total,1564,143
2018-05-28,DE513N1,DI,50.30785,-125.328333,May 26,2018,so_total,4,148
2018-05-28,DE513N2,DI,50.30705,-125.332333,May 26,2018,so_total,189,148
2018-05-30,DE514N1,DI,50.440686,-125.294356,June 2,2018,so_total,4,150
2018-05-31,JE417N1,JS,50.54342,-126.81474,June 2,2018,so_total,146,151
2018-06-03,JE418N1,JS,50.54561,-126.66166,June 2,2018,so_total,113,154
2018-06-04,DE520N2,DI,50.307767,-125.32905,June 2,2018,so_total,3,155
2018-06-04,DE520N3,DI,50.306917,-125.3288,June 2,2018,so_total,8,155
2018-06-05,DE521N1,DI,50.267967,-125.358733,June 2,2018,so_total,48,156
2018-06-07,JE414N1,JS,50.54387,-126.80852,June 9,2018,so_total,488,158
2018-06-07,DE522N1,DI,50.443485,-125.28775,June 9,2018,so_total,450,158
2018-06-11,DE523N1,DI,50.3099,-125.319633,June 9,2018,so_total,14,162
2018-06-11,DE523N2,DI,50.307183,-125.335133,June 9,2018,so_total,7,162
2018-06-11,DE523N3,DI,50.30345,-125.33885,June 9,2018,so_total,31,162
2018-06-12,JE415N1,JS,50.60207,-126.70187,June 9,2018,so_total,40,163
2018-06-12,JE415N2,JS,50.60197,-126.70232,June 9,2018,so_total,8,163
2018-06-12,DE524N1,DI,50.27095,-125.365483,June 9,2018,so_total,5,163
2018-06-12,DE524N2,DI,50.268817,-125.359533,June 9,2018,so_total,0,163
2018-06-12,DE524N3,DI,50.270667,-125.365017,June 9,2018,so_total,0,163
2018-06-12,DE524N4,DI,50.26805,-125.358833,June 9,2018,so_total,0,163
2018-06-12,DE525N1,DI,50.233733,-125.395717,June 9,2018,so_total,20,163
2018-06-13,DE526N1,DI,338575.5,-125.273467,June 16,2018,so_total,1,164
2018-06-14,JE419N1,JS,50.54416,-126.80831,June 16,2018,so_total,27,165
2018-06-18,DE527N1,DI,50.30915,-125.32305,June 16,2018,so_total,0,169
2018-06-18,DE527N2,DI,50.303167,-125.3387,June 16,2018,so_total,0,169
2018-06-18,DE527N3,DI,50.308417,-125.3309,June 16,2018,so_total,0,169
2018-06-19,DE529N1,DI,50.268067,-125.35845,June 16,2018,so_total,0,170
2018-06-19,DE529N2,DI,50.2693,-125.360467,June 16,2018,so_total,0,170
2018-06-19,DE530N1,DI,50.2351,-125.397083,June 16,2018,so_total,0,170
2018-06-19,DE530N2,DI,50.239,-125.401233,June 16,2018,so_total,0,170
2018-06-20,JE420N1,JS,50.60216,-126.70131,June 23,2018,so_total,8,171
2018-06-20,DE532N1,DI,50.434567,-125.261567,June 23,2018,so_total,0,171
2018-06-20,DE532N2,DI,50.434567,-125.261567,June 23,2018,so_total,0,171
2018-06-20,DE532N3,DI,50.435,-125.263767,June 23,2018,so_total,15,171
2018-06-21,JE421N1,JS,50.54372,-126.81902,June 23,2018,so_total,17,172
2018-06-21,JE421N2,JS,50.54314,-126.81464,June 23,2018,so_total,376,172
2018-06-23,JE422N1,JS,50.54477,-126.65859,June 23,2018,so_total,5,174
2018-06-23,JE422N2,JS,50.54267,-126.65017,June 23,2018,so_total,12,174
2018-06-25,DE533N1,DI,50.305567,-125.337083,June 23,2018,so_total,0,176
2018-06-25,DE533N2,DI,50.29995,-125.341167,June 23,2018,so_total,0,176
2018-06-28,JE423N1,JS,50.54327,-126.81796,June 30,2018,so_total,1,179
2018-06-28,JE423N2,JS,50.54343,-126.81577,June 30,2018,so_total,4,179
2018-06-26,DE534N1,DI,50.267517,-125.35945,June 23,2018,so_total,0,177
2018-06-26,DE534N2,DI,50.26815,-125.360967,June 23,2018,so_total,1,177
2018-06-27,DE535N1,DI,50.438867,-125.267883,June 30,2018,so_total,0,178
2018-06-29,JE425N1,JS,50.60151,-126.70567,June 30,2018,so_total,100,180
2018-07-03,DE537N1,DI,50.3092,-125.325,June 30,2018,so_total,0,184
2018-07-03,JE426N1,JS,50.54591,-126.6658,June 30,2018,so_total,1,184
2018-07-04,JE427N1,JS,50.54367,-126.81252,July 6,2018,so_total,0,185
2018-07-04,JE427N2,JS,50.54412,-126.81375,July 6,2018,so_total,0,185
2018-07-05,DE539N2,DI,50.435883,-125.264217,July 6,2018,so_total,0,186
2016-05-09,DE245N1,DI,50.318037,-125.049415,May 12,2016,pi_total,0,130
2016-05-09,DE245N2,DI,50.318037,-125.049415,May 12,2016,pi_total,0,130
2016-05-14,DE260N1,DI,50.32113,-125.040588,May 12,2016,pi_total,3,135
2016-05-14,DE261N1,DI,50.19304,-125.136573,May 12,2016,pi_total,2,135
2016-05-15,DE262N1,DI,50.287179,-125.33416,May 19,2016,pi_total,0,136
2016-05-15,DE263N1,DI,50.243454,-125.398108,May 19,2016,pi_total,20,136
2016-05-19,DE274N1,DI,50.319977,-125.042165,May 19,2016,pi_total,3,140
2016-05-19,DE276N1,DI,50.191099,-125.138578,May 19,2016,pi_total,70,140
2016-05-23,DE277N1,DI,50.30908,-125.325703,May 26,2016,pi_total,40,144
2016-05-23,DE278N1,DI,50.274701,-125.377445,May 26,2016,pi_total,100,144
2016-05-23,DE279N1,DI,50.224106,-125.395004,May 26,2016,pi_total,0,144
2016-05-23,DE279N2,DI,50.224106,-125.395004,May 26,2016,pi_total,60,144
2016-05-26,DE284N1,DI,50.3175,-125.050736,May 26,2016,pi_total,1,147
2016-05-26,DE284N2,DI,50.3175,-125.050736,May 26,2016,pi_total,40,147
2016-05-26,DE287N1,DI,50.190737,-125.143169,May 26,2016,pi_total,80,147
2016-05-27,DE288N1,DI,50.243773,-125.397476,May 26,2016,pi_total,40,148
2016-05-27,DE290N1,DI,50.304166,-125.333511,May 26,2016,pi_total,0,148
2016-05-27,DE290N2,DI,50.304166,-125.333511,May 26,2016,pi_total,9,148
2016-06-01,DE292N1,DI,50.308769,-125.326765,June 2,2016,pi_total,3,153
2016-06-01,DE293N1,DI,50.274055,-125.328828,June 2,2016,pi_total,100,153
2016-06-01,DE294N1,DI,50.24565,-125.396035,June 2,2016,pi_total,100,153
2016-06-02,DE297N1,DI,50.462513,-125.368231,June 2,2016,pi_total,100,154
2016-06-03,DE300N1,DI,50.190887,-125.143416,June 2,2016,pi_total,100,155
2016-06-07,DE301N1,DI,50.30436,-125.332956,June 9,2016,pi_total,0,159
2016-06-07,DE302N1,DI,50.242671,-125.398265,June 9,2016,pi_total,36,159
2016-06-08,DE305N1,DI,50.461604,-125.368943,June 9,2016,pi_total,0,160
2016-06-08,DE305N2,DI,50.461604,-125.368943,June 9,2016,pi_total,50,160
2016-06-09,DE307N1,DI,50.31794,-125.050807,June 9,2016,pi_total,26,161
2016-06-09,DE308N1,DI,50.190683,-125.143138,June 9,2016,pi_total,60,161
2016-06-14,DE320N1,DI,50.235322,-125.39888,June 16,2016,pi_total,400,166
2016-06-14,DE321N1,DI,50.275083,-125.381356,June 16,2016,pi_total,500,166
2016-06-14,DE322N1,DI,50.307203,-125.332605,June 16,2016,pi_total,100,166
2016-06-16,DE323N1,DI,50.319224,-125.044219,June 16,2016,pi_total,0,168
2016-06-16,DE327N1,DI,50.191383,-125.143884,June 16,2016,pi_total,30,168
2016-06-16,DE327N2,DI,50.191383,-125.143884,June 16,2016,pi_total,100,168
2016-06-21,DE329N1,DI,50.30661,-125.335266,June 23,2016,pi_total,0,173
2016-06-21,DE329N2,DI,50.30661,-125.335266,June 23,2016,pi_total,20,173
2016-06-22,DE338N1,DI,50.458706,-125.365059,June 23,2016,pi_total,100,174
2016-06-29,DE350N2,DI,50.307068,-125.329361,June 30,2016,pi_total,0,181
2016-06-30,DE355N1,DI,50.462531,-125.359047,June 30,2016,pi_total,70,182
2016-07-06,DE360N1,DI,50.275178,-125.378066,July 6,2016,pi_total,200,188
2016-07-06,DE361N1,DI,50.304502,-125.336639,July 6,2016,pi_total,40,188
2016-07-06,DE361N2,DI,50.307066,-125.322977,July 6,2016,pi_total,100,188
2016-05-22,JE237N1,JS,50.543296,-126.816816,May 26,2016,pi_total,20,143
2016-05-22,JE239N2,JS,50.54692,-126.67193,May 26,2016,pi_total,0,143
2016-05-22,JE240N1,JS,50.601718,-126.701857,May 26,2016,pi_total,15,143
2016-05-27,JE248N1,JS,50.543432,-126.8134,May 26,2016,pi_total,2,148
2016-05-28,JE250N2,JS,50.60125,-126.704457,May 26,2016,pi_total,6,149
2016-05-28,JE251N1,JS,50.545897,-126.668909,May 26,2016,pi_total,0,149
2016-06-01,JE252N1,JS,50.60125,-126.704457,June 2,2016,pi_total,100,153
2016-06-02,JE255N2,JS,50.543432,-126.8134,June 2,2016,pi_total,6,154
2016-06-04,JE261N1,JS,50.543029,-126.632233,June 2,2016,pi_total,100,156
2016-06-09,JE262N1,JS,50.544941,-126.816489,June 9,2016,pi_total,300,161
2016-06-09,JE264N1,JS,50.602327,-126.701507,June 9,2016,pi_total,80,161
2016-06-10,JE266N1,JS,50.547475,-126.676942,June 9,2016,pi_total,50,162
2016-06-17,JE272N2,JS,50.602051,-126.704553,June 16,2016,pi_total,100,169
2016-06-18,JE274N2,JS,50.579393,-126.714162,June 16,2016,pi_total,400,170
2016-06-18,JE276N1,JS,50.546326,-126.669166,June 16,2016,pi_total,100,170
2016-06-23,JE284N1,JS,50.54401,-126.81461,June 23,2016,pi_total,300,175
2016-06-23,JE286N1,JS,50.55803,-126.73463,June 23,2016,pi_total,1000,175
2016-06-24,JE288N1,JS,50.6017,-126.70318,June 23,2016,pi_total,20,176
2016-07-04,JE294N2,JS,50.601529,-126.703784,July 6,2016,pi_total,20,186
2016-07-04,JE298N1,JS,50.543818,-126.794456,July 6,2016,pi_total,200,186
2018-05-11,DE505N2,DI,50.3154,-125.053,May 12,2018,pi_total,1,131
2018-05-14,DE506N1,DI,50.18167,-125.1523,May 12,2018,pi_total,30,134
2018-05-15,DE510N1,DI,50.309206,-125.323291,May 12,2018,pi_total,117,135
2018-05-17,JE412N1,JS,50.53912,-126.77893,May 19,2018,pi_total,0,137
2018-05-17,DE516N1,DI,50.316983,-125.049967,May 19,2018,pi_total,0,137
2018-05-17,DE516N2,DI,50.316117,-125.052167,May 19,2018,pi_total,30,137
2018-05-21,JE401N1,JS,50.5429,-126.81615,May 19,2018,pi_total,0,141
2018-05-21,JE402N1,JS,50.53927,-126.78078,May 19,2018,pi_total,0,141
2018-05-22,DE517N2,DI,50.31006,-125.317963,May 19,2018,pi_total,50,142
2018-05-23,DE531N1,DI,50.271333,-125.368,May 26,2018,pi_total,1956,143
2018-05-28,DE513N1,DI,50.30785,-125.328333,May 26,2018,pi_total,14,148
2018-05-28,DE513N2,DI,50.30705,-125.332333,May 26,2018,pi_total,21,148
