sample_id,date,site,ufn,species,region,julian_date
S4762DN1,2015-06-04,D08,U4762,SO,DI,155
S4763DN1,2015-06-04,D08,U4763,SO,DI,155
S4764DN1,2015-06-04,D08,U4764,SO,DI,155
S4765DN1,2015-06-04,D08,U4765,SO,DI,155
S4766DN1,2015-06-04,D08,U4766,SO,DI,155
S4767DN1,2015-06-04,D08,U4767,SO,DI,155
S4768DN1,2015-06-04,D08,U4768,SO,DI,155
S4769DN1,2015-06-04,D08,U4769,SO,DI,155
S4770DN1,2015-06-04,D08,U4770,SO,DI,155
S4771DN1,2015-06-04,D08,U4771,SO,DI,155
S5076DN1,2015-06-01,D09,U5076,SO,DI,152
S5077DN1,2015-06-01,D09,U5077,SO,DI,152
S5078DN1,2015-06-01,D09,U5078,SO,DI,152
S5079DN1,2015-06-01,D09,U5079,SO,DI,152
S5080DN1,2015-06-01,D09,U5080,SO,DI,152
S5081DN1,2015-06-01,D09,U5081,SO,DI,152
S5082DN1,2015-06-01,D09,U5082,SO,DI,152
S5083DN1,2015-06-01,D09,U5083,SO,DI,152
S5084DN1,2015-06-01,D09,U5084,SO,DI,152
S5085DN1,2015-06-01,D09,U5085,SO,DI,152
S5086DN1,2015-06-01,D09,U5086,SO,DI,152
S5087DN1,2015-06-01,D09,U5087,SO,DI,152
S5088DN1,2015-06-01,D09,U5088,SO,DI,152
S5089DN1,2015-06-01,D09,U5089,SO,DI,152
S5090DN1,2015-06-01,D09,U5090,SO,DI,152
S5091DN1,2015-06-01,D09,U5091,SO,DI,152
S5092DN1,2015-06-01,D09,U5092,SO,DI,152
S5093DN1,2015-06-01,D09,U5093,SO,DI,152
S5094DN1,2015-06-01,D09,U5094,SO,DI,152
S5095DN1,2015-06-01,D09,U5095,SO,DI,152
S5096DN1,2015-06-22,D09,U5096,SO,DI,173
S5097DN1,2015-06-22,D09,U5097,SO,DI,173
S5098DN1,2015-06-22,D09,U5098,SO,DI,173
S5099DN1,2015-06-22,D09,U5099,SO,DI,173
S5100DN1,2015-06-22,D09,U5100,SO,DI,173
S5101DN1,2015-06-22,D09,U5101,SO,DI,173
S5102DN1,2015-06-22,D09,U5102,SO,DI,173
S5103DN1,2015-06-22,D09,U5103,SO,DI,173
S5104DN1,2015-06-22,D09,U5104,SO,DI,173
S5105DN1,2015-06-22,D09,U5105,SO,DI,173
S5116DN1,2015-06-09,D09,U5116,SO,DI,160
S5130DN1,2015-06-09,D09,U5130,SO,DI,160
S5129DN1,2015-06-09,D09,U5129,SO,DI,160
S5128DN1,2015-06-09,D09,U5128,SO,DI,160
S5127DN1,2015-06-09,D09,U5127,SO,DI,160
S5126DN1,2015-06-09,D09,U5126,SO,DI,160
S5125DN1,2015-06-09,D09,U5125,SO,DI,160
S5124DN1,2015-06-09,D09,U5124,SO,DI,160
S5123DN1,2015-06-09,D09,U5123,SO,DI,160
S5122DN1,2015-06-09,D09,U5122,SO,DI,160
S5121DN1,2015-06-09,D09,U5121,SO,DI,160
S5120DN1,2015-06-09,D09,U5120,SO,DI,160
S5119DN1,2015-06-09,D09,U5119,SO,DI,160
S5118DN1,2015-06-09,D09,U5118,SO,DI,160
S5117DN1,2015-06-09,D09,U5117,SO,DI,160
S5131DN1,2015-06-09,D09,U5131,SO,DI,160
S5106DN1,2015-06-22,D09,U5106,SO,DI,173
S5107DN1,2015-06-22,D09,U5107,SO,DI,173
S5108DN1,2015-06-22,D09,U5108,SO,DI,173
S5109DN1,2015-06-22,D09,U5109,SO,DI,173
S5110DN1,2015-06-22,D09,U5110,SO,DI,173
S5111DN1,2015-06-22,D09,U5111,SO,DI,173
S5112DN1,2015-06-22,D09,U5112,SO,DI,173
S5113DN1,2015-06-22,D09,U5113,SO,DI,173
S5114DN1,2015-06-22,D09,U5114,SO,DI,173
