seine_id,survey_id,set_number,year,survey_date,region,zone,site_id,site_name,Sockeye,Pink,Chum,Coho,Sockeye_density,Pink_density,Chum_density,Coho_density
DE107N1,DE107,1,2015,2015-05-16T00:00:00Z,DI,C,D07,Hoskyn Channel,500,1,300,1,0.13467046697487112,2.693409339497422e-4,0.08080228018492266,2.693409339497422e-4
DE111N1,DE111,1,2015,2015-05-19T00:00:00Z,DI,E,D08,Calm Channel,200,2,100,6,0.053868186789948445,5.386818678994844e-4,0.026934093394974223,0.0016160456036984534
DE112N1,DE112,1,2015,2015-05-20T00:00:00Z,DI,C,D09,Okisollo Channel,200,0,30,1,0.053868186789948445,0,0.008080228018492267,2.693409339497422e-4
DE115N2,DE115,2,2015,2015-05-21T00:00:00Z,DI,C,D07,Hoskyn Channel,200,10,50,1,0.053868186789948445,0.0026934093394974223,0.013467046697487111,2.693409339497422e-4
DE116N1,DE116,1,2015,2015-05-23T00:00:00Z,DI,E,D08,Calm Channel,29,0,40,2,0.007810887084542525,0,0.010773637357989689,5.386818678994844e-4
DE117N1,DE117,1,2015,2015-05-23T00:00:00Z,DI,E,D10,Hall Point,3000,10,100,0,0.8080228018492267,0.0026934093394974223,0.026934093394974223,0
DE121N1,DE121,1,2015,2015-05-24T00:00:00Z,DI,C,D09,Okisollo Channel,200,2,4,0,0.053868186789948445,5.386818678994844e-4,0.0010773637357989689,0
DE124N1,DE124,1,2015,2015-05-25T00:00:00Z,DI,E,D08,Calm Channel,200,0,40,0,0.053868186789948445,0,0.010773637357989689,0
DE128N4,DE128,4,2015,2015-05-26T00:00:00Z,DI,E,D10,Hall Point,200,0,10,1,0.053868186789948445,0,0.0026934093394974223,2.693409339497422e-4
DE130N1,DE130,1,2015,2015-05-26T00:00:00Z,DI,C,D09,Okisollo Channel,40,0,10,0,0.010773637357989689,0,0.0026934093394974223,0
DE137N1,DE137,1,2015,2015-05-28T00:00:00Z,DI,E,D10,Hall Point,30,0,10,0,0.008080228018492267,0,0.0026934093394974223,0
DE139N1,DE139,1,2015,2015-05-28T00:00:00Z,DI,C,D09,Okisollo Channel,200,0,10,0,0.053868186789948445,0,0.0026934093394974223,0
DE143N1,DE143,1,2015,2015-05-31T00:00:00Z,DI,E,D08,Calm Channel,2,1,60,0,5.386818678994844e-4,2.693409339497422e-4,0.016160456036984534,0
DE149N1,DE149,1,2015,2015-06-01T00:00:00Z,DI,E,D10,Hall Point,800,0,2,1,0.21547274715979378,0,5.386818678994844e-4,2.693409339497422e-4
DE151N1,DE151,1,2015,2015-06-01T00:00:00Z,DI,C,D09,Okisollo Channel,500,0,100,0,0.13467046697487112,0,0.026934093394974223,0
DE152N3,DE152,3,2015,2015-06-03T00:00:00Z,DI,E,D10,Hall Point,500,1,300,0,0.13467046697487112,2.693409339497422e-4,0.08080228018492266,0
DE154N1,DE154,1,2015,2015-06-03T00:00:00Z,DI,C,D09,Okisollo Channel,40,1,40,0,0.010773637357989689,2.693409339497422e-4,0.010773637357989689,0
DE155N1,DE155,1,2015,2015-06-04T00:00:00Z,DI,E,D08,Calm Channel,60,0,2,0,0.016160456036984534,0,5.386818678994844e-4,0
DE160N1,DE160,1,2015,2015-06-05T00:00:00Z,DI,E,D10,Hall Point,25,5,600,0,0.006733523348743556,0.0013467046697487111,0.16160456036984533,0
