UFN,UFN,BOX #,WELL #,UFN,NOTES
3241,U3241,100,1,U3241,
2534,U2534,100,2,U2534,
2535,U2535,100,3,U2535,
3102,U3102,100,4,U3102,
3101,U3101,100,5,U3101,
3155,U3155,100,6,U3155,
U3949,U3949,100,7,U3949,
3156,U3156,100,8,U3156,
3157,U3157,100,9,U3157,
3158,U3158,100,10,U3158,
3160,U3160,100,11,U3160,
3161,U3161,100,12,U3161,
2547,U2547,100,13,U2547,
2546,U2546,100,14,U2546,
2545,U2545,100,15,U2545,
2544,U2544,100,16,U2544,
2543,U2543,100,17,U2543,
2542,U2542,100,18,U2542,
2667,U2667,100,19,U2667,
2666,U2666,100,20,U2666,
3016,U3016,100,21,U3016,
3019,U3019,100,22,U3019,
3089,U3089,100,23,U3089,
3090,U3090,100,24,U3090,
3091,U3091,100,25,U3091,
3092,U3092,100,26,U3092,
3095,U3095,100,27,U3095,
3096,U3096,100,28,U3096,
3097,U3097,100,29,U3097,
3098,U3098,100,30,U3098,
3099,U3099,100,31,U3099,
3100,U3100,100,32,U3100,
3103,U3103,100,33,U3103,
3104,U3104,100,34,U3104,
3108,U3108,100,35,U3108,
3109,U3109,100,36,U3109,
3110,U3110,100,37,U3110,
2930,U2930,100,38,U2930,
2929,U2929,100,39,U2929,
U3316,U3316,100,40,U3316,
U3313,U3313,100,41,U3313,
U3314,U3314,100,42,U3314,
U3315,U3315,100,43,U3315,
U3317,U3317,100,44,U3317,
U3318,U3318,100,45,U3318,
U3319,U3319,100,46,U3319,
U3320,U3320,100,47,U3320,
U3321,U3321,100,48,U3321,
U3322,U3322,100,49,U3322,
U3323,U3323,100,50,U3323,
U3324,U3324,100,51,U3324,
U3325,U3325,100,52,U3325,
U3326,U3326,100,53,U3326,
U3327,U3327,100,54,U3327,
U3328,U3328,100,55,U3328,
U3329,U3329,100,56,U3329,
U3503,U3503,100,57,U3503,
U3502,U3502,100,58,U3502,
U3501,U3501,100,59,U3501,
U2979,U2979,100,60,U2979,
U2978,U2978,100,61,U2978,
U2977,U2977,100,62,U2977,
U2976,U2976,100,63,U2976,
U2975,U2975,100,64,U2975,
U2974,U2974,100,65,U2974,
U2973,U2973,100,66,U2973,
