ufn,semsp_id
U1117,2015-05-26-J07-SO-19
U1298,2015-06-09-D07-SO-12
U1318,2015-06-09-D07-SO-6
U1381,2015-05-26-J07-SO-19
U1469,2016-06-11-J07-SO-11
U1479,2016-06-16-D07-SO-5
U1481,2016-06-16-D07-SO-6
U1486,2016-06-16-D07-SO-7
U1503,2016-06-11-J07-SO-14
U1683,2016-06-01-D09-SO-11
U1685,2016-06-01-D09-SO-13
U1686,2016-06-01-D09-SO-16
U1842,2016-06-21-D09-SO-14
U1852,2016-06-21-D09-SO-10
U1853,2016-06-21-D09-SO-3
U1875,2016-06-16-D07-SO-30
U1883,2016-06-16-D07-SO-22
U1903,2016-06-03-D07-SO-9
U1904,2016-06-03-D07-SO-1
U1905,2016-06-03-D07-SO-3
U1906,2016-06-03-D07-SO-8
U1907,2016-06-03-D07-SO-10
U1908,2016-06-03-D07-SO-2
U1910,2016-06-03-D07-SO-5
U1944,2016-05-26-D07-SO-23
U1945,2016-05-26-D07-SO-1
U1946,2016-05-26-D07-SO-28
U1947,2016-05-26-D07-SO-25
U1948,2016-05-26-D07-SO-27
U1949,2016-05-26-D07-SO-30
U1950,2016-05-26-D07-SO-29
U1952,2016-05-19-D07-SO-27
U1961,2016-05-26-D07-SO-26
U1962,2016-05-19-D07-SO-23
U1964,2016-05-19-D07-SO-29
U1984,2016-07-05-J07-SO-14
U1986,2016-07-05-J07-SO-13
U1987,2016-07-05-J07-SO-11
U1990,2016-07-05-J07-SO-15
U2071,2016-07-05-J07-SO-12
U2300,2016-06-03-J07-SO-11
U2414,2016-06-03-J07-SO-12
U2415,2016-06-03-J07-SO-13
U2417,2016-06-03-J07-SO-14
U2430,2016-05-21-J07-SO-4
U2431,2016-05-21-J07-SO-2
U2439,2016-05-21-J07-SO-3
U2619,2016-06-03-J07-SO-15
U292,2015-05-16-D07-SO-22
U294,2015-05-16-D07-SO-25
U295,2015-05-16-D07-SO-24
U301,2015-05-16-D07-SO-27
U302,2015-05-16-D07-SO-23
U303,2015-05-16-D07-SO-28
U4376,2016-06-09-D07-SO-3
U4377,2016-06-09-D07-SO-6
U4378,2016-06-03-D07-SO-17
U4379,2016-06-09-D07-SO-2
U4380,2016-06-09-D07-SO-4
U4391,2016-06-09-D07-SO-22
U4400,2016-06-03-D07-SO-12
U4401,2016-06-03-D07-SO-15
U4402,2016-06-03-D07-SO-20
U4421,2016-06-09-D07-SO-5
U4423,2016-06-09-D07-SO7
U4468,2016-05-14-D07-SO1
U4514,2016-05-14-D07-SO-2
U4515,2016-05-14-D07-SO-5
U4516,2016-05-14-D07-SO-14
U4554,2016-06-09-D07-SO-21
U4567,2016-05-19-D07-SO-8
U4568,2016-05-19-D07-SO-11
U4569,2016-05-19-D07-SO-9
U4570,2016-05-19-D07-SO-10
U4575,2016-06-16-D07-SO-17
U4576,2016-06-16-D07-SO-11
U4577,2016-06-16-D07-SO-15
