ufn,sample_type,sample_id,container_id,container_cell,sample_location
U4762,DNA,S4762DN1,BDN7,1,BDN7-1
U4763,DNA,S4763DN1,BDN7,2,BDN7-2
U4764,DNA,S4764DN1,BDN7,3,BDN7-3
U4765,DNA,S4765DN1,BDN7,4,BDN7-4
U4766,DNA,S4766DN1,BDN7,5,BDN7-5
U4767,DNA,S4767DN1,BDN7,6,BDN7-6
U4768,DNA,S4768DN1,BDN7,7,BDN7-7
U4769,DNA,S4769DN1,BDN7,8,BDN7-8
U4770,DNA,S4770DN1,BDN7,9,BDN7-9
U4771,DNA,S4771DN1,BDN7,10,BDN7-10
U5076,DNA,S5076DN1,BDN7,11,BDN7-11
U5077,DNA,S5077DN1,BDN7,12,BDN7-12
U5078,DNA,S5078DN1,BDN7,13,BDN7-13
U5079,DNA,S5079DN1,BDN7,14,BDN7-14
U5080,DNA,S5080DN1,BDN7,15,BDN7-15
U5081,DNA,S5081DN1,BDN7,16,BDN7-16
U5082,DNA,S5082DN1,BDN7,17,BDN7-17
U5083,DNA,S5083DN1,BDN7,18,BDN7-18
U5084,DNA,S5084DN1,BDN7,19,BDN7-19
U5085,DNA,S5085DN1,BDN7,20,BDN7-20
U5086,DNA,S5086DN1,BDN7,21,BDN7-21
U5087,DNA,S5087DN1,BDN7,22,BDN7-22
U5088,DNA,S5088DN1,BDN7,23,BDN7-23
U5089,DNA,S5089DN1,BDN7,24,BDN7-24
U5090,DNA,S5090DN1,BDN7,25,BDN7-25
U5091,DNA,S5091DN1,BDN7,26,BDN7-26
U5092,DNA,S5092DN1,BDN7,27,BDN7-27
U5093,DNA,S5093DN1,BDN7,28,BDN7-28
U5094,DNA,S5094DN1,BDN7,29,BDN7-29
U5095,DNA,S5095DN1,BDN7,30,BDN7-30
U5096,DNA,S5096DN1,BDN7,31,BDN7-31
U5097,DNA,S5097DN1,BDN7,32,BDN7-32
U5098,DNA,S5098DN1,BDN7,33,BDN7-33
U5099,DNA,S5099DN1,BDN7,34,BDN7-34
U5100,DNA,S5100DN1,BDN7,35,BDN7-35
U5101,DNA,S5101DN1,BDN7,36,BDN7-36
U5102,DNA,S5102DN1,BDN7,37,BDN7-37
U5103,DNA,S5103DN1,BDN7,38,BDN7-38
U5104,DNA,S5104DN1,BDN7,39,BDN7-39
U5105,DNA,S5105DN1,BDN7,40,BDN7-40
U5116,DNA,S5116DN1,BDN7,41,BDN7-41
U5130,DNA,S5130DN1,BDN7,42,BDN7-42
U5129,DNA,S5129DN1,BDN7,43,BDN7-43
U5128,DNA,S5128DN1,BDN7,44,BDN7-44
U5127,DNA,S5127DN1,BDN7,45,BDN7-45
U5126,DNA,S5126DN1,BDN7,46,BDN7-46
U5125,DNA,S5125DN1,BDN7,47,BDN7-47
U5124,DNA,S5124DN1,BDN7,48,BDN7-48
U5123,DNA,S5123DN1,BDN7,49,BDN7-49
U5122,DNA,S5122DN1,BDN7,50,BDN7-50
U5121,DNA,S5121DN1,BDN7,51,BDN7-51
U5120,DNA,S5120DN1,BDN7,52,BDN7-52
U5119,DNA,S5119DN1,BDN7,53,BDN7-53
U5118,DNA,S5118DN1,BDN7,54,BDN7-54
U5117,DNA,S5117DN1,BDN7,55,BDN7-55
U5131,DNA,S5131DN1,BDN7,56,BDN7-56
U5106,DNA,S5106DN1,BDN7,57,BDN7-57
U5107,DNA,S5107DN1,BDN7,58,BDN7-58
U5108,DNA,S5108DN1,BDN7,59,BDN7-59
U5109,DNA,S5109DN1,BDN7,60,BDN7-60
U5110,DNA,S5110DN1,BDN7,61,BDN7-61
U5111,DNA,S5111DN1,BDN7,62,BDN7-62
U5112,DNA,S5112DN1,BDN7,63,BDN7-63
U5113,DNA,S5113DN1,BDN7,64,BDN7-64
U5114,DNA,S5114DN1,BDN7,65,BDN7-65
