ufn,sample_id,container_id,container_cell,sample_comments,date_shipped,destination,species,survey_date,year,site_id
U99,S99FA1,BFASO1,1,NA,NA,NA,SO,2015-05-15,2015,D05
U127,S127FA1,BFASO1,5,NA,NA,NA,SO,2015-05-15,2015,D05
U128,S128FA1,BFASO1,23,NA,NA,NA,SO,2015-05-21,2015,D07
U129,S129FA1,BFA101,66,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U130,S130FA1,BFASO2,21,NA,NA,NA,SO,2015-06-04,2015,D06
U200,S200FA1,BFASO1,3,NA,NA,NA,SO,2015-05-15,2015,D05
U207,S207FA1,BFASO1,2,NA,NA,NA,SO,2015-05-15,2015,D05
U208,S208FA1,BFASO1,7,NA,NA,NA,SO,2015-05-15,2015,D05
U209,S209FA1,BFASO1,10,NA,NA,NA,SO,2015-05-15,2015,D05
U210,S210FA1,BFASO1,14,NA,NA,NA,SO,2015-05-21,2015,D07
U213,S213FA1,BFASO1,4,NA,NA,NA,SO,2015-05-15,2015,D05
U214,S214FA1,BFASO1,8,NA,NA,NA,SO,2015-05-15,2015,D05
U215,S215FA1,BFASO1,11,NA,NA,NA,SO,2015-05-15,2015,D05
U216,S216FA1,BFASO1,15,NA,NA,NA,SO,2015-05-21,2015,D07
U217,S217FA1,BFASO1,20,NA,NA,NA,SO,2015-05-21,2015,D07
U218,S218FA1,BFASO1,25,NA,NA,NA,SO,2015-05-21,2015,D07
U219,S219FA1,BFASO1,27,NA,NA,NA,SO,2015-06-05,2015,D07
U220,S220FA1,BFASO1,32,NA,NA,NA,SO,2015-06-05,2015,D07
U221,S221FA1,BFASO1,33,NA,NA,NA,SO,2015-06-05,2015,D07
U222,S222FA1,BFASO1,41,NA,NA,NA,SO,2015-06-05,2015,D07
U223,S223FA1,BFA101,54,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U224,S224FA1,BFA101,69,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U225,S225FA1,BFA101,70,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U226,S226FA1,BFASO1,77,NA,NA,NA,SO,2015-06-03,2015,D10
U227,S227FA1,BFASO1,86,NA,NA,NA,SO,2015-06-03,2015,D10
U228,S228FA1,BFASO1,90,NA,NA,NA,SO,2015-06-03,2015,D10
U229,S229FA1,BFASO1,93,NA,NA,NA,SO,2015-06-03,2015,D10
U230,S230FA1,BFASO1,97,NA,NA,NA,SO,2015-05-19,2015,D08
U231,S231FA1,BFASO1,9,NA,NA,NA,SO,2015-05-15,2015,D05
U232,S232FA1,BFASO1,12,NA,NA,NA,SO,2015-05-15,2015,D05
U233,S233FA1,BFASO1,13,NA,NA,NA,SO,2015-05-21,2015,D07
U234,S234FA1,BFASO1,19,NA,NA,NA,SO,2015-05-21,2015,D07
U235,S235FA1,BFASO1,21,NA,NA,NA,SO,2015-05-21,2015,D07
U236,S236FA1,BFASO1,22,NA,NA,NA,SO,2015-05-21,2015,D07
U237,S237FA1,BFASO1,26,NA,NA,NA,SO,2015-06-05,2015,D07
U238,S238FA1,BFASO1,31,NA,NA,NA,SO,2015-06-05,2015,D07
U239,S239FA1,BFASO1,35,NA,NA,NA,SO,2015-06-05,2015,D07
U240,S240FA1,BFA101,53,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U241,S241FA1,BFASO1,17,NA,NA,NA,SO,2015-05-21,2015,D07
U242,S242FA1,BFASO1,24,NA,NA,NA,SO,2015-06-05,2015,D07
U243,S243FA1,BFASO1,29,NA,NA,NA,SO,2015-06-05,2015,D07
U244,S244FA1,BFASO1,30,NA,NA,NA,SO,2015-06-05,2015,D07
U246,S246FA1,BFA101,55,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U247,S247FA1,BFA101,57,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U248,S248FA1,BFA101,59,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U249,S249FA1,BFA101,61,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U250,S250FA1,BFA101,64,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U251,S251FA1,BFA101,56,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U252,S252FA1,BFA101,58,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U253,S253FA1,BFA101,60,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-02,2015,D09
U254,S254FA1,BFA101,62,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U255,S255FA1,BFA101,63,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U256,S256FA1,BFA101,65,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U257,S257FA1,BFASO1,71,NA,NA,NA,SO,2015-06-03,2015,D10
U258,S258FA1,BFASO1,82,NA,NA,NA,SO,2015-06-03,2015,D10
U259,S259FA1,BFASO1,88,NA,NA,NA,SO,2015-06-03,2015,D10
U260,S260FA1,BFA101,71,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U261,S261FA1,BFA101,67,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U262,S262FA1,BFA101,68,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-07-14,2015,D09
U263,S263FA1,BFASO1,79,NA,NA,NA,SO,2015-06-03,2015,D10
U264,S264FA1,BFASO1,84,NA,NA,NA,SO,2015-06-03,2015,D10
U265,S265FA1,BFASO1,91,NA,NA,NA,SO,2015-06-03,2015,D10
U266,S266FA1,BFASO2,30,NA,NA,NA,SO,2015-06-04,2015,D06
U267,S267FA1,BFASO2,25,NA,NA,NA,SO,2015-06-04,2015,D06
U268,S268FA1,BFASO2,34,NA,NA,NA,SO,2015-05-15,2015,D03
U269,S269FA1,BFASO2,40,NA,NA,NA,SO,2015-05-15,2015,D03
U270,S270FA1,BFASO2,41,NA,NA,NA,SO,2015-05-15,2015,D03
U271,S271FA1,BFASO1,99,NA,NA,NA,SO,2015-06-04,2015,D06
U272,S272FA1,BFASO2,5,NA,NA,NA,SO,2015-05-19,2015,D08
U273,S273FA1,BFASO2,7,NA,NA,NA,SO,2015-05-19,2015,D08
U274,S274FA1,BFASO2,12,NA,NA,NA,SO,2015-05-19,2015,D08
U275,S275FA1,BFASO2,23,NA,NA,NA,SO,2015-06-04,2015,D06
U276,S276FA1,BFASO2,27,NA,NA,NA,SO,2015-06-04,2015,D06
U277,S277FA1,BFASO2,45,NA,NA,NA,SO,2015-06-04,2015,D06
U278,S278FA1,BFASO2,47,NA,NA,NA,SO,2015-05-15,2015,D03
U279,S279FA1,BFASO2,49,NA,NA,NA,SO,2015-05-15,2015,D03
U280,S280FA1,BFASO2,54,NA,NA,NA,SO,2015-05-15,2015,D03
U281,S281FA1,BFASO2,1,NA,NA,NA,SO,2015-05-19,2015,D08
U282,S282FA1,BFASO2,3,NA,NA,NA,NA,NA,NA,NA
U283,S283FA1,BFASO2,9,NA,NA,NA,NA,NA,NA,NA
U284,S284FA1,BFASO2,14,NA,NA,NA,SO,2015-05-19,2015,D08
U285,S285FA1,BFASO2,16,NA,NA,NA,SO,2015-05-19,2015,D08
U286,S286FA1,BFASO2,18,NA,NA,NA,SO,2015-05-19,2015,D08
U287,S287FA1,BFASO2,29,NA,NA,NA,SO,2015-06-04,2015,D06
U288,S288FA1,BFASO2,32,NA,NA,NA,SO,2015-06-04,2015,D06
U289,S289FA1,BFASO2,36,NA,NA,NA,SO,2015-06-04,2015,D06
U290,S290FA1,BFASO2,38,NA,NA,NA,SO,2015-05-15,2015,D03
U291,S291FA1,BFASO2,43,NA,NA,NA,SO,2015-05-15,2015,D03
U292,S292FA1,BFA12,14,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-05-16,2015,D07
U293,S293FA1,BFASO2,60,NA,NA,NA,SO,2015-05-16,2015,D07
U294,S294FA1,BFA12,16,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-05-16,2015,D07
U295,S295FA1,BFA12,18,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-05-16,2015,D07
U296,S296FA1,BFASO2,72,NA,NA,NA,SO,2015-05-16,2015,D06
U297,S297FA1,BFASO2,83,NA,NA,NA,SO,2015-05-16,2015,D06
U298,S298FA1,BFASO2,89,NA,NA,NA,SO,2015-05-16,2015,D06
U299,S299FA1,BFA103,36,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U300,S300FA1,BFA103,37,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U301,S301FA1,BFA12,20,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-05-16,2015,D07
U302,S302FA1,BFA12,19,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-05-16,2015,D07
U303,S303FA1,BFA12,17,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-05-16,2015,D07
U304,S304FA1,BFASO2,76,NA,NA,NA,SO,2015-05-16,2015,D06
U305,S305FA1,BFASO2,78,NA,NA,NA,SO,2015-05-16,2015,D06
U306,S306FA1,BFASO2,98,NA,NA,NA,SO,2015-05-16,2015,D06
U307,S307FA1,BFA104,53,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U308,S308FA1,BFA104,55,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U309,S309FA1,BFA103,46,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-26,2015,D09
U310,S310FA1,BFA103,42,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-26,2015,D09
U311,S311FA1,BFASO2,52,NA,NA,NA,SO,2015-05-16,2015,D07
U312,S312FA1,BFASO2,56,NA,NA,NA,SO,2015-05-16,2015,D07
U313,S313FA1,BFASO2,63,NA,NA,NA,SO,2015-05-16,2015,D07
U315,S315FA1,BFASO2,74,NA,NA,NA,SO,2015-05-16,2015,D06
U316,S316FA1,BFASO2,85,NA,NA,NA,SO,2015-05-16,2015,D06
U317,S317FA1,BFA104,54,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U318,S318FA1,BFA104,56,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U319,S319FA1,BFA103,39,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
U320,S320FA1,BFA103,41,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-26,2015,D09
U321,S321FA1,BFASO2,87,NA,NA,NA,SO,2015-05-16,2015,D06
U322,S322FA1,BFASO4,85,NA,NA,NA,SO,2015-05-13,2015,D02
U323,S323FA1,BFASO4,89,NA,NA,NA,SO,2015-05-13,2015,D02
U324,S324FA1,BFASO4,94,NA,NA,NA,SO,2015-05-13,2015,D02
U325,S325FA1,BFASO4,96,NA,NA,NA,SO,2015-05-30,2015,D06
U326,S326FA1,BFASO5,1,NA,NA,NA,SO,2015-05-30,2015,D06
U327,S327FA1,BFA103,31,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-28,2015,D09
U328,S328FA1,BFASO5,76,NA,NA,NA,SO,2015-05-24,2015,D11
U329,S329FA1,BFA12,40,NA,2018-04-27,UBC Hunt Lab (Jessica Garzke),SO,2015-06-23,2015,J02
U330,S330FA1,BFASO8,25,NA,NA,NA,SO,2015-06-23,2015,J02
U331,S331FA1,BFA103,38,NA,2017-09-04,UBC Hunt Lab (Jessica Garzke),SO,2015-05-24,2015,D09
