ufn,species,year,location
U1392,PI,2015,in_vials
U1386,PI,2015,in_vials
U1394,PI,2015,in_vials
U1190,PI,2015,in_vials
U1395,PI,2015,in_vials
U826,SO,2015,in_vials
U849,SO,2015,in_vials
U861,SO,2015,in_vials
U840,SO,2015,in_vials
U846,SO,2015,in_vials
U850,SO,2015,in_vials
U847,SO,2015,in_vials
U864,SO,2015,in_vials
U844,SO,2015,in_vials
U845,SO,2015,in_vials
U1324,SO,2015,in_vials
U1325,SO,2015,in_vials
U813,SO,2015,in_vials
U809,SO,2015,in_vials
U719,SO,2015,in_vials
U754,SO,2015,in_vials
U783,SO,2015,in_vials
U720,SO,2015,in_vials
U734,SO,2015,in_vials
U782,SO,2015,in_vials
U781,SO,2015,in_vials
U784,SO,2015,in_vials
U761,SO,2015,in_vials
U810,SO,2015,in_vials
U758,SO,2015,in_vials
U816,SO,2015,in_vials
U821,SO,2015,in_vials
U814,SO,2015,in_vials
U815,SO,2015,in_vials
U831,SO,2015,in_vials
U822,SO,2015,in_vials
U823,SO,2015,in_vials
U800,SO,2015,in_vials
U1177,SO,2015,in_vials
U1211,SO,2015,in_vials
U1315,CU,2015,in_vials
U1234,SO,2015,in_vials
U1247,SO,2015,in_vials
U1263,SO,2015,in_vials
U1255,SO,2015,in_vials
U1276,SO,2015,in_vials
U1238,SO,2015,in_vials
U1237,SO,2015,in_vials
U1354,SO,2015,in_vials
U714,SO,2015,in_vials
U648,SO,2015,in_vials
U1162,SO,2015,in_vials
U1140,SO,2015,in_vials
U1109,SO,2015,in_vials
U1163,SO,2015,in_vials
U1129,SO,2015,in_vials
U1108,SO,2015,in_vials
U1110,SO,2015,in_vials
U1144,SO,2015,in_vials
U1161,SO,2015,in_vials
U1152,SO,2015,in_vials
U1130,SO,2015,in_vials
U1151,SO,2015,in_vials
U1145,SO,2015,in_vials
U972,SO,2015,in_vials
U742,SO,2015,in_vials
U971,SO,2015,in_vials
U741,SO,2015,in_vials
U604,SO,2015,in_vials
U1351,SO,2015,in_vials
U1300,SO,2015,in_vials
U1333,SO,2015,in_vials
U1352,SO,2015,in_vials
U1319,SO,2015,in_vials
U1299,SO,2015,in_vials
U1320,SO,2015,in_vials
U1334,SO,2015,in_vials
U1361,SO,2015,in_vials
U1332,SO,2015,in_vials
U912,SO,2015,in_vials
U1149,SO,2015,in_vials
U1172,SO,2015,in_vials
U1329,SO,2015,in_vials
U1297,SO,2015,in_vials
U1158,SO,2015,in_vials
U1150,SO,2015,in_vials
U1159,SO,2015,in_vials
U1166,SO,2015,in_vials
U1192,SO,2015,in_vials
U1167,SO,2015,in_vials
U592,SO,2015,in_vials
U565,SO,2015,in_vials
U1407,PI,2015,in_vials
U1376,PI,2015,in_vials
U1399,PI,2015,in_vials
U1412,PI,2015,in_vials
U1408,PI,2015,in_vials
U1051,CU,2015,in_vials
U723,SO,2015,in_vials
U706,SO,2015,in_vials
U724,SO,2015,in_vials
U722,SO,2015,in_vials
U712,SO,2015,in_vials
U708,SO,2015,in_vials
U707,SO,2015,in_vials
U630,SO,2015,in_vials
U652,SO,2015,in_vials
U623,SO,2015,in_vials
U620,SO,2015,in_vials
U644,SO,2015,in_vials
U646,SO,2015,in_vials
U619,SO,2015,in_vials
U643,SO,2015,in_vials
U653,SO,2015,in_vials
U645,SO,2015,in_vials
U661,SO,2015,in_vials
U711,SO,2015,in_vials
U705,SO,2015,in_vials
U704,SO,2015,in_vials
U788,SO,2015,in_vials
U789,SO,2015,in_vials
U790,SO,2015,in_vials
U721,SO,2015,in_vials
U740,SO,2015,in_vials
U766,SO,2015,in_vials
U739,SO,2015,in_vials
U717,SO,2015,in_vials
U715,SO,2015,in_vials
U729,SO,2015,in_vials
U600,SO,2015,in_vials
U616,SO,2015,in_vials
U622,SO,2015,in_vials
U583,SO,2015,in_vials
U556,SO,2015,in_vials
U564,SO,2015,in_vials
U563,SO,2015,in_vials
U554,SO,2015,in_vials
U581,SO,2015,in_vials
U540,SO,2015,in_vials
U582,SO,2015,in_vials
U562,SO,2015,in_vials
U561,SO,2015,in_vials
U555,SO,2015,in_vials
U1387,PI,2015,in_vials
U1390,PI,2015,in_vials
U1389,PI,2015,in_vials
U1405,PI,2015,in_vials
U1388,PI,2015,in_vials
U662,SO,2015,in_vials
U548,SO,2015,in_vials
U549,SO,2015,in_vials
U547,SO,2015,in_vials
U536,SO,2015,in_vials
U537,SO,2015,in_vials
U529,SO,2015,in_vials
U538,SO,2015,in_vials
U539,SO,2015,in_vials
U552,SO,2015,in_vials
U553,SO,2015,in_vials
U551,SO,2015,in_vials
U550,SO,2015,in_vials
