"","ufn","survey_date","site_id","cal_cope_field","lep_cope_field","chal_a_field","chal_b_field","cal_mot_field","cm_field","cpaf_field","caf_field","cgf_field","lpam_field","lpaf_field","lam_field","laf_field","lgf_field","unid_cope_field","unid_chal_field","chal_scar","mot_scar","pred_scar","hemorrhaging","eroded_gill_plate","grazed_gill_plate","mate_guarding","pinched_belly","comments_fish_health_field","licing_protocol_field","motile_count"
"1","U16066",2018-05-22,"D09",0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",3
"2","U16067",2018-05-22,"D09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ISOPOD","salmoncoast_allstages",1
"3","U16070",2018-05-22,"D09",0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",2
"4","U16164",2018-05-28,"D09",1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"5","U16123",2018-05-29,"D27",1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"6","U16881",2018-06-03,"J03",2,0,14,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"7","U16885",2018-06-03,"J03",0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",2
"8","U16890",2018-06-03,"J03",0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"9","U16298",2018-06-04,"D09",0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"10","U17092",2018-06-05,"D27",0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"11","U17094",2018-06-05,"D27",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"12","U17096",2018-06-05,"D27",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"13","U16803",2018-06-07,"J09",1,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"14","U16809",2018-06-07,"J09",0,0,6,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,"salmoncoast_allstages",1
"15","U17421",2018-06-11,"D09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"16","U17423",2018-06-11,"D09",0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CM fell out of bag","salmoncoast_allstages",1
"17","U17429",2018-06-11,"D09",0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"18","U17430",2018-06-11,"D09",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"19","U16701",2018-06-14,"J09",2,0,4,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"PVF","salmoncoast_allstages",1
"20","U16704",2018-06-14,"J09",4,0,10,5,2,2,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,0,0,0,0,"Lesion FL","salmoncoast_allstages",2
"21","U16705",2018-06-14,"J09",0,0,3,3,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"PVF","salmoncoast_allstages",1
"22","U16706",2018-06-14,"J09",2,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"23","U16707",2018-06-14,"J09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,"PVF","salmoncoast_allstages",1
"24","U16751",2018-06-20,"J02",2,0,5,0,2,0,0,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",2
"25","U16753",2018-06-20,"J02",0,0,6,6,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"26","U17351",2018-06-20,"D10",0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"lesions both sides","salmoncoast_allstages",2
"27","U16897",2018-06-21,"J09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"28","U16899",2018-06-21,"J09",0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"29","U16953",2018-06-23,"J03",2,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"30","U16583",2018-06-23,"J03",6,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",2
"31","U17941",2018-06-28,"J09",8,0,9,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Cal cope in bag","salmoncoast_allstages",1
"32","U17943",2018-06-28,"J09",7,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"33","U17041",2018-06-26,"D27",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"34","U17072",2018-06-27,"D09",5,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
