semsp_id,ufn,species,status,weight,fork_length,so_taken,pi_taken,cu_taken,survey_date,site_id,region,sampling_week,current_location,storage_unit,storage_tier_ 1,lat,lon
2015-05-16-D07-CU-1,U2912,CU,dissected,7.1,90,30,1,10,2015-05-16,D07,DI,19-May,Quadra Prep Lab,Freezer Room Top Shelf,Stomach Group Box 12,50.16412,-125.1602
2015-05-16-D07-CU-10,NA,CU,not dissected,NA,NA,30,1,10,2015-05-16,D07,DI,19-May,NA,NA,NA,50.16412,-125.1602
2015-05-16-D07-CU-2,U2828,CU,dissected,17.9,122,30,1,10,2015-05-16,D07,DI,19-May,Quadra Prep Lab,Freezer Room Top Shelf,Stomach Group Box 12,50.16412,-125.1602
2015-05-16-D07-CU-3,NA,CU,not dissected,NA,NA,30,1,10,2015-05-16,D07,DI,19-May,NA,NA,NA,50.16412,-125.1602
2015-05-16-D07-CU-4,U2827,CU,dissected,14.6,114,30,1,10,2015-05-16,D07,DI,19-May,Quadra Prep Lab,Freezer Room Top Shelf,Stomach Group Box 12,50.16412,-125.1602
2015-05-16-D07-CU-5,U2830,CU,dissected,10.7,101,30,1,10,2015-05-16,D07,DI,19-May,Quadra Prep Lab,Freezer Room Top Shelf,Stomach Group Box 12,50.16412,-125.1602
2015-05-16-D07-CU-6,NA,CU,not dissected,NA,NA,30,1,10,2015-05-16,D07,DI,19-May,NA,NA,NA,50.16412,-125.1602
2015-05-16-D07-CU-7,NA,CU,not dissected,NA,NA,30,1,10,2015-05-16,D07,DI,19-May,NA,NA,NA,50.16412,-125.1602
2015-05-16-D07-CU-8,U2635,CU,dissected,14.9,NA,30,1,10,2015-05-16,D07,DI,19-May,Quadra Prep Lab,Freezer Room Top Shelf,Stomach Group Box 12,50.16412,-125.1602
2015-05-16-D07-CU-9,NA,CU,not dissected,NA,NA,30,1,10,2015-05-16,D07,DI,19-May,NA,NA,NA,50.16412,-125.1602
2015-05-16-D07-PI-1,U1396,PI,dissected,7.4,86,30,1,10,2015-05-16,D07,DI,19-May,UBC,NA,Stomach Group Box 3,50.16412,-125.1602
2015-05-21-D07-CU-1,U2626,CU,dissected,9.6,96,30,8,10,2015-05-21,D07,DI,19-May,Quadra Prep Lab,Freezer Room Top Shelf,Stomach Group Box 12,50.18217,-125.1493
2015-05-21-D07-CU-10,U4173,CU,dissected,NA,NA,30,8,10,2015-05-21,D07,DI,19-May,NA,NA,NA,50.18217,-125.1493
2015-05-21-D07-CU-2,NA,CU,not dissected,NA,NA,30,8,10,2015-05-21,D07,DI,19-May,NA,NA,NA,50.18217,-125.1493
