"sampleID"	"barcode"	"name"	"description"	"note"	"quantity"	"expiration"	"created"	"Storage"	"storageLayerName"	"Storage Position"	"storageLayerID"	"fullName"	"clonedFrom"	"clonedFromSampleID"	"Sample Status"
"7346372"	"S21434DN1"	"S21434DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"8.C"	"596762"	"elab JSP"	""	""	"Collected"
"7346373"	"S21436DN1"	"S21436DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"5.C"	"596762"	"elab JSP"	""	""	"Collected"
"7346375"	"S21438DN1"	"S21438DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"4.C"	"596762"	"elab JSP"	""	""	"Collected"
"7346376"	"S21431DN1"	"S21431DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"9.C"	"596762"	"elab JSP"	""	""	"Collected"
"7346378"	"S21435DN1"	"S21435DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"7.C"	"596762"	"elab JSP"	""	""	"Collected"
"7346381"	"S21433DN1"	"S21433DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"10.C"	"596762"	"elab JSP"	""	""	"Collected"
"7346384"	"S21437DN1"	"S21437DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"1.D"	"596762"	"elab JSP"	""	""	"Collected"
"7346385"	"S21432DN1"	"S21432DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"2.D"	"596762"	"elab JSP"	""	""	"Collected"
"7346388"	"S21439DN1"	"S21439DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"3.D"	"596762"	"elab JSP"	""	""	"Collected"
"7346390"	"S21440DN1"	"S21440DN1"	""	""	""	""	"2019-08-07 00:43"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"4.D"	"596762"	"elab JSP"	""	""	"Collected"
"7450536"	"S22556DN1"	"S22556DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"7.D"	"596762"	"elab JSP"	""	""	"Collected"
"7450538"	"S22554DN1"	"S22554DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"5.D"	"596762"	"elab JSP"	""	""	"Collected"
"7450539"	"S22558DN1"	"S22558DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"8.D"	"596762"	"elab JSP"	""	""	"Collected"
"7450542"	"S22553DN1"	"S22553DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"9.D"	"596762"	"elab JSP"	""	""	"Collected"
"7450544"	"S22552DN1"	"S22552DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"1.E"	"596762"	"elab JSP"	""	""	"Collected"
"7450545"	"S22551DN1"	"S22551DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"10.D"	"596762"	"elab JSP"	""	""	"Collected"
"7450547"	"S22559DN1"	"S22559DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"2.E"	"596762"	"elab JSP"	""	""	"Collected"
"7450548"	"S22560DN1"	"S22560DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"3.E"	"596762"	"elab JSP"	""	""	"Collected"
"7450550"	"S22557DN1"	"S22557DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"4.E"	"596762"	"elab JSP"	""	""	"Collected"
"7450553"	"S22555DN1"	"S22555DN1"	""	""	""	""	"2019-08-27 00:21"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"5.E"	"596762"	"elab JSP"	""	""	"Collected"
"7536392"	"S20642DN1"	"S20642DN1"	""	""	""	""	"2019-09-18 15:38"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"8.E"	"596762"	"elab JSP"	""	""	"Collected"
"7536393"	"S20641DN1"	"S20641DN1"	""	""	""	""	"2019-09-18 15:38"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"7.E"	"596762"	"elab JSP"	""	""	"Collected"
"7536395"	"S20643DN1"	"S20643DN1"	""	""	""	""	"2019-09-18 15:38"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"9.E"	"596762"	"elab JSP"	""	""	"Collected"
"7542753"	"S20309DN1"	"S20309DN1"	""	""	""	""	"2019-09-19 15:18"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"4.B"	"596765"	"elab JSP"	""	""	"Collected"
"7573851"	"S20081DN1"	"S20081DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"10.E"	"596762"	"elab JSP"	""	""	"Collected"
"7573854"	"S21058DN1"	"S21058DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"1.F"	"596762"	"elab JSP"	""	""	"Collected"
"7573857"	"S21060DN1"	"S21060DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"2.F"	"596762"	"elab JSP"	""	""	"Collected"
"7573859"	"S21056DN1"	"S21056DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"4.F"	"596762"	"elab JSP"	""	""	"Collected"
"7573860"	"S21053DN1"	"S21053DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"3.F"	"596762"	"elab JSP"	""	""	"Collected"
"7573862"	"S21054DN1"	"S21054DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"5.F"	"596762"	"elab JSP"	""	""	"Collected"
"7573863"	"S21055DN1"	"S21055DN1"	""	""	""	""	"2019-09-26 15:48"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"7.F"	"596762"	"elab JSP"	""	""	"Collected"
"7586339"	"S21052DN1"	"S21052DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"9.F"	"596762"	"elab JSP"	""	""	"Collected"
"7586340"	"S21059DN1"	"S21059DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"8.F"	"596762"	"elab JSP"	""	""	"Collected"
"7586343"	"S21051DN1"	"S21051DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"10.F"	"596762"	"elab JSP"	""	""	"Collected"
"7586346"	"S21057DN1"	"S21057DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"1.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586348"	"S21255DN1"	"S21255DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"2.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586351"	"S21254DN1"	"S21254DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"3.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586354"	"S21253DN1"	"S21253DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"4.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586357"	"S21259DN1"	"S21259DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"5.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586358"	"S21256DN1"	"S21256DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"7.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586361"	"S21260DN1"	"S21260DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"8.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586363"	"S21258DN1"	"S21258DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"9.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586364"	"S21251DN1"	"S21251DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"1.H"	"596762"	"elab JSP"	""	""	"Collected"
"7586366"	"S21257DN1"	"S21257DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"10.G"	"596762"	"elab JSP"	""	""	"Collected"
"7586367"	"S21252DN1"	"S21252DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"2.H"	"596762"	"elab JSP"	""	""	"Collected"
"7586369"	"S21519DN1"	"S21519DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"5.B"	"596765"	"elab JSP"	""	""	"Collected"
"7586370"	"S21309DN1"	"S21309DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN13"	"3.H"	"596762"	"elab JSP"	""	""	"Collected"
"7586372"	"S21520DN1"	"S21520DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"7.B"	"596765"	"elab JSP"	""	""	"Collected"
"7586373"	"S21515DN1"	"S21515DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"8.B"	"596765"	"elab JSP"	""	""	"Collected"
"7586375"	"S21514DN1"	"S21514DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"9.B"	"596765"	"elab JSP"	""	""	"Collected"
"7586378"	"S21513DN1"	"S21513DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"10.B"	"596765"	"elab JSP"	""	""	"Collected"
"7586379"	"S21518DN1"	"S21518DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"1.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586382"	"S21517DN1"	"S21517DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"2.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586384"	"S21516DN1"	"S21516DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"3.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586385"	"S21511DN1"	"S21511DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"4.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586387"	"S20997DN1"	"S20997DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"7.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586388"	"S21512DN1"	"S21512DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"5.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586390"	"S20998DN1"	"S20998DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"8.C"	"596765"	"elab JSP"	""	""	"Collected"
"7586391"	"S20994DN1"	"S20994DN1"	""	""	""	""	"2019-09-28 00:03"	"Prep Salmon Shelves - Shelf I - Tray 2-2"	"BDN14"	"9.C"	"596765"	"elab JSP"	""	""	"Collected"
