"sampleID"	"barcode"	"name"	"description"	"note"	"quantity"	"expiration"	"created"	"Storage"	"storageLayerName"	"Storage Position"	"storageLayerID"	"fullName"	"clonedFrom"	"clonedFromSampleID"	"Sample Status"	"Column1"
"7166844"	"S22044FA1"	"S22044FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"56"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166846"	"S22045FA1"	"S22045FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"55"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166849"	"S22041FA1"	"S22041FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"57"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166850"	"S22050FA1"	"S22050FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"59"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166852"	"S22047FA1"	"S22047FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"58"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166853"	"S22048FA1"	"S22048FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"60"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166856"	"S22043FA1"	"S22043FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"61"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166858"	"S22042FA1"	"S22042FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"62"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166861"	"S22046FA1"	"S22046FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"63"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166862"	"S22049FA1"	"S22049FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"64"	"570620"	"elab JSP"	""	""	"Collected"	""
"7166865"	"S22012FA1"	"S22012FA1"	""	""	""	""	"2019-06-28 23:17"	"Prep -80 Freezer #3 - Shelf 1 - Tray 76"	"BFA38"	"65"	"570620"	"elab JSP"	""	""	"Collected"	""
"7167230"	"S20581FA1"	"S20581FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"1.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167231"	"S20582FA1"	"S20582FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"2.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167233"	"S20583FA1"	"S20583FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"3.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167234"	"S20584FA1"	"S20584FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"4.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167237"	"S20585FA1"	"S20585FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"5.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167239"	"S20586FA1"	"S20586FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"6.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167240"	"S20587FA1"	"S20587FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"7.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167242"	"S20588FA1"	"S20588FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"8.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167245"	"S20589FA1"	"S20589FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"9.A"	"597195"	"elab JSP"	""	""	"Collected"	""
"7167246"	"S20590FA1"	"S20590FA1"	""	""	""	""	"2019-06-29 01:25"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"1.B"	"597195"	"elab JSP"	""	""	"Collected"	""
"7189106"	"S21641FA1"	"S21641FA1"	""	""	""	""	"2019-07-04 01:50"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"2.B"	"597195"	"elab JSP"	""	""	"Collected"	""
"7189107"	"S21642FA1"	"S21642FA1"	""	""	""	""	"2019-07-04 01:50"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"3.B"	"597195"	"elab JSP"	""	""	"Collected"	""
"7189110"	"S21643FA1"	"S21643FA1"	""	""	""	""	"2019-07-04 01:50"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"4.B"	"597195"	"elab JSP"	""	""	"Collected"	""
"7189112"	"S21644FA1"	"S21644FA1"	""	""	""	""	"2019-07-04 01:50"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"5.B"	"597195"	"elab JSP"	""	""	"Collected"	""
"7189115"	"S21645FA1"	"S21645FA1"	""	""	""	""	"2019-07-04 01:50"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"6.B"	"597195"	"elab JSP"	""	""	"Collected"	""
"7189116"	"S21646FA1"	"S21646FA1"	""	""	""	""	"2019-07-04 01:50"	"Prep -80 Freezer #3 - Shelf 1 - Tray 81"	"BFA43"	"7.B"	"597195"	"elab JSP"	""	""	"Collected"	""
