"sampleID"	"barcode"	"name"	"description"	"note"	"quantity"	"expiration"	"created"	"Storage"	"storageLayerName"	"Storage Position"	"storageLayerID"	"fullName"	"clonedFrom"	"clonedFromSampleID"	"Sample Status"
"7346094"	"S20566ST1"	"S20566ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346097"	"S20595ST1"	"S20595ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346099"	"S20585ST1"	"S20585ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346100"	"S20590ST1"	"S20590ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346103"	"S20582ST1"	"S20582ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346105"	"S20596ST1"	"S20596ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346106"	"S20594ST1"	"S20594ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346108"	"S20561ST1"	"S20561ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346109"	"S20598ST1"	"S20598ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346111"	"S20599ST1"	"S20599ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346112"	"S20587ST1"	"S20587ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346115"	"S20597ST1"	"S20597ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346117"	"S20600ST1"	"S20600ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346118"	"S20568ST1"	"S20568ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346121"	"S20591ST1"	"S20591ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346123"	"S20592ST1"	"S20592ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346124"	"S20588ST1"	"S20588ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346127"	"S20584ST1"	"S20584ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
"7346130"	"S20586ST1"	"S20586ST1"	""	""	""	""	"2019-08-06 23:04"	"Prep -20 Freezer #4 - Shelf 5"	"DIST06"	"0"	"609375"	"elab JSP"	""	""	"Collected"
